commit_uid,repo_id,commit_hash,commit_url,label_satd,label_human,rationale_human,lines_added,lines_deleted,files_changed,hunks,label_llm,confidence_llm,rationale_llm
scrapy#27689009f177b9207b55a3443e2ab459243341df,scrapy,27689009f177b9207b55a3443e2ab459243341df,https://github.com/scrapy/scrapy/commit/27689009f177b9207b55a3443e2ab459243341df,1,0,"Simple bug / edge case fix, no td introduced",6,2,1,5,no,0.98,"Small conditional import refactor with no visible duplication, complexity increase, or removed safeguards in the diff."
flask#81576c236a4dde33aeed13c84abed0ad2e796c2f,flask,81576c236a4dde33aeed13c84abed0ad2e796c2f,https://github.com/pallets/flask/commit/81576c236a4dde33aeed13c84abed0ad2e796c2f,0,0,"Code generalisations, even reducing complexity in some places",116,74,1,22,yes,0.93,"Introduces a new FlaskGroup class and splits command setup across methods, increasing local complexity and coupling within the modified file."
requests#5cfbb0aaf50e451179ede8bcd43ca55fbdfebad5,requests,5cfbb0aaf50e451179ede8bcd43ca55fbdfebad5,https://github.com/psf/requests/commit/5cfbb0aaf50e451179ede8bcd43ca55fbdfebad5,1,1,Magic numbers (fp.readline(80)) and avoidable complexity,26,0,1,3,no,0.86,"Adds chunked-response handling and a small guard for empty lines; no clear duplication, weakened safeguard, or explicit temporary workaround is introduced."
scrapy#643ea99f367beb5d4c86fb5495e59d9a665f741d,scrapy,643ea99f367beb5d4c86fb5495e59d9a665f741d,https://github.com/scrapy/scrapy/commit/643ea99f367beb5d4c86fb5495e59d9a665f741d,0,0,Clean and simple change,4,2,1,3,no,0.93,"No clear TD: mostly parameter renames and a small control-flow addition; no visible duplication, weakening, or hard-coded shortcut."
scrapy#3e8bcafd8b64bb6867eda05804a58144a2623ada,scrapy,3e8bcafd8b64bb6867eda05804a58144a2623ada,https://github.com/scrapy/scrapy/commit/3e8bcafd8b64bb6867eda05804a58144a2623ada,1,1,Confusing nesting,63,3,2,6,no,0.93,"Adds a utility copytree/ignore_patterns and uses them to replace shutil.copytree; no clear shortcut, duplication, or weakened safeguard is directly visible."
keras#a449efe29b092e658a29cd847e0494979a47d252,keras,a449efe29b092e658a29cd847e0494979a47d252,https://github.com/keras-team/keras/commit/a449efe29b092e658a29cd847e0494979a47d252,1,0,Low-complexity and well-documented integration of doctest,573,0,4,4,yes,0.86,New doctest checker adds substantial logic and a new test module; also introduces a direct cross-module dependency in all_utils.
flask#c4139e0e5de5ffa8f103956bdcc1ca7cf9e500fd,flask,c4139e0e5de5ffa8f103956bdcc1ca7cf9e500fd,https://github.com/pallets/flask/commit/c4139e0e5de5ffa8f103956bdcc1ca7cf9e500fd,0,0,"Minimal complexity, no TD",28,1,2,4,no,0.93,"Adds JSON request support with validation and header handling; no clear duplication, weakened safeguards, or other visible technical debt."
keras#a1c9d0823cd284213c884be0964cd47c47d5e666,keras,a1c9d0823cd284213c884be0964cd47c47d5e666,https://github.com/keras-team/keras/commit/a1c9d0823cd284213c884be0964cd47c47d5e666,0,0,"Simple, low-complexity addition of two small functions",15,0,1,1,no,0.95,"Adds two initializer functions; no visible shortcut, duplication beyond simple formulas, or weakened safeguards in the diff."
keras#bb6dc0fbf4e02a34133f8d7e6f0517e70c9f63c5,keras,bb6dc0fbf4e02a34133f8d7e6f0517e70c9f63c5,https://github.com/keras-team/keras/commit/bb6dc0fbf4e02a34133f8d7e6f0517e70c9f63c5,1,0,Increased modularity and code robustness,232,22,7,19,yes,0.93,"Adds new generator/PyDataset branches, duplicated class-weight handling, and a new helper with repeated logic across files, increasing local coupling and complexity."
keras#688d303bb7e44bdba7664b21555aa473de1c0a89,keras,688d303bb7e44bdba7664b21555aa473de1c0a89,https://github.com/keras-team/keras/commit/688d303bb7e44bdba7664b21555aa473de1c0a89,1,0,"Added actual implementations to certain functions, removed commented-out code",531,326,3,152,yes,0.97,"Introduces many explicit NotImplementedError/TODO workarounds and skips torch cases, plus a new hard-coded dtype map and several API-divergent shortcuts."
scrapy#963580463b96315eb58319e6d35b4cd52672371a,scrapy,963580463b96315eb58319e6d35b4cd52672371a,https://github.com/scrapy/scrapy/commit/963580463b96315eb58319e6d35b4cd52672371a,0,0,Test refactoring,159,44,1,25,no,0.86,"Mostly test refactoring and assertion updates; no clear new shortcut, duplication, or weakened safeguard is directly visible."
scrapy#a2bd70ba21af273b97ecb4f35ad6521940bf3cd6,scrapy,a2bd70ba21af273b97ecb4f35ad6521940bf3cd6,https://github.com/scrapy/scrapy/commit/a2bd70ba21af273b97ecb4f35ad6521940bf3cd6,0,0,"Moved code, enhanced structure",63,52,2,7,no,0.93,"Refactor extracts existing markup-cleaning logic into shared utility; no visible added complexity, duplication, weakened safeguards, or temporary workaround."
keras#4dcd829fb517ba6949e0059779083a16e61ad8b6,keras,4dcd829fb517ba6949e0059779083a16e61ad8b6,https://github.com/keras-team/keras/commit/4dcd829fb517ba6949e0059779083a16e61ad8b6,1,0,"Added well-documented, well-structured functions",749,1,3,3,no,0.93,"New export utility and tests add functionality; no explicit duplication, weakened safeguards, or temporary workaround introduced in visible diff."
keras#76c5b616f2cac0d4d1852049d98ab8a067142373,keras,76c5b616f2cac0d4d1852049d98ab8a067142373,https://github.com/keras-team/keras/commit/76c5b616f2cac0d4d1852049d98ab8a067142373,0,1,"Increased complexity due to nesting and duplicated / nested checks, mapping would be cleaner",19,6,1,8,yes,0.95,"Adds repeated near-identical branching for accuracy/crossentropy handling and duplicated suffix selection, increasing local complexity within one function."
requests#7125fe5554332b636ce42dcbe8224d0918381917,requests,7125fe5554332b636ce42dcbe8224d0918381917,https://github.com/psf/requests/commit/7125fe5554332b636ce42dcbe8224d0918381917,0,1,Temporary workaround,7,0,1,2,yes,0.98,"Introduces a bare except that silently returns the original URI, explicitly described as a poor man's patch, weakening error handling."
keras#75d9415c82b3bbba82095b11ac6c313b40de6066,keras,75d9415c82b3bbba82095b11ac6c313b40de6066,https://github.com/keras-team/keras/commit/75d9415c82b3bbba82095b11ac6c313b40de6066,1,1,Missing error and edge case handling,3136,477,23,205,yes,0.97,"Large new cntk backend adds substantial duplicated logic across files, plus many backend-specific test branches and skipped safeguards, increasing maintenance burden."
requests#f2629e9e3c7ce3c3c8c025bcd8db551101cbc773,requests,f2629e9e3c7ce3c3c8c025bcd8db551101cbc773,https://github.com/psf/requests/commit/f2629e9e3c7ce3c3c8c025bcd8db551101cbc773,0,0,One-line config change,0,1,1,1,no,0.99,"Single-line removal of a parameter; no visible complexity, duplication, coupling, or explicit weakened safeguard in the diff."
keras#e253911d18325815f9d284d51a00eccc0b641ef5,keras,e253911d18325815f9d284d51a00eccc0b641ef5,https://github.com/keras-team/keras/commit/e253911d18325815f9d284d51a00eccc0b641ef5,1,0,"Clean and well-documented implementation, low complexities",348,1,2,4,no,0.93,"Adds new loss classes/functions and tests; no visible duplication, weakened safeguards, magic numbers, or other clear technical debt in the diff."
scrapy#818d69fa003a14a2f2058e76258e6269d227efb4,scrapy,818d69fa003a14a2f2058e76258e6269d227efb4,https://github.com/scrapy/scrapy/commit/818d69fa003a14a2f2058e76258e6269d227efb4,0,0,one-line typo fix in a comment,1,1,1,1,no,0.99,"Single comment typo fix only; no added complexity, duplication, coupling, or weakened safeguards visible."
keras#588ce7a7e24e5245f43c927ed96e1881ae3ed3ad,keras,588ce7a7e24e5245f43c927ed96e1881ae3ed3ad,https://github.com/keras-team/keras/commit/588ce7a7e24e5245f43c927ed96e1881ae3ed3ad,0,0,Only examples,152,0,1,1,no,0.93,"New standalone example file adds functionality without visible shortcuts, duplication, weakened safeguards, or local complexity issues in the diff."
keras#879a6c244c767cdfb8b2c23ae605869946868291,keras,879a6c244c767cdfb8b2c23ae605869946868291,https://github.com/keras-team/keras/commit/879a6c244c767cdfb8b2c23ae605869946868291,1,0,"Moved code, removed obsolete code",357,389,18,65,yes,0.97,"Introduces explicit TODO-not-implemented stubs, debug prints, and weakened/removed safeguards in several backend functions and serialization paths."
keras#3b853b939953040e8841911efa05407e7e1fa91f,keras,3b853b939953040e8841911efa05407e7e1fa91f,https://github.com/keras-team/keras/commit/3b853b939953040e8841911efa05407e7e1fa91f,0,0,"Moved code, enhanced structure",21,12,2,5,no,0.93,"Refactor moves attribute tracking to base Layer and simplifies Network.__setattr__; no clear new shortcut, duplication, or weakened safeguard is visible."
requests#366e8e849877aea44ce96abebd4f26f5bcce12fb,requests,366e8e849877aea44ce96abebd4f26f5bcce12fb,https://github.com/psf/requests/commit/366e8e849877aea44ce96abebd4f26f5bcce12fb,1,1,Stubbed methods and commented-out code,242,43,1,7,yes,0.97,"Introduces large new RequestMixin/PreparedRequest classes with many stubbed methods, commented-out code, and duplicated/disabled logic, increasing local complexity and dead code."
keras#1587fb9c43558b86fc34bbe441831be195488f72,keras,1587fb9c43558b86fc34bbe441831be195488f72,https://github.com/keras-team/keras/commit/1587fb9c43558b86fc34bbe441831be195488f72,0,0,Simple config changes,2,2,2,2,no,0.97,"Mechanical API-argument rename in two files; no visible complexity increase, duplication, weakened safeguards, or other technical debt."
keras#0d37837d448a3b9202d5c4c9928ef40940578719,keras,0d37837d448a3b9202d5c4c9928ef40940578719,https://github.com/keras-team/keras/commit/0d37837d448a3b9202d5c4c9928ef40940578719,1,1,Brittle path handling,48,6,2,15,yes,0.86,"Introduces ad hoc remote-path handling with regex and temporary local copy logic, plus a new direct dependency on tf.io.gfile in saving/loading paths."
fastapi#07e1dea467c9654ea771bfef23cb3bf9654feb01,fastapi,07e1dea467c9654ea771bfef23cb3bf9654feb01,https://github.com/fastapi/fastapi/commit/07e1dea467c9654ea771bfef23cb3bf9654feb01,1,0,Extended type,142,19,2,5,no,0.93,"Visible changes are type broadening for JSON Schema booleans and a new test; no clear duplication, weakening, or shortcut introduced."
fastapi#a42c69049647f4fb731afc86c6eeb959248217e4,fastapi,a42c69049647f4fb731afc86c6eeb959248217e4,https://github.com/fastapi/fastapi/commit/a42c69049647f4fb731afc86c6eeb959248217e4,0,0,Simple functions for docs generation,65,10,2,11,yes,0.93,"README generation logic was added with duplicated sponsor templating and new direct coupling between docs index, sponsors data, and README verification."
scrapy#97b98bf181874d22e4f7774a7950c10aaea6bd24,scrapy,97b98bf181874d22e4f7774a7950c10aaea6bd24,https://github.com/scrapy/scrapy/commit/97b98bf181874d22e4f7774a7950c10aaea6bd24,0,0,Simple one-line changes,32,12,3,11,no,0.97,"Refactor moves settings application to classmethod and adds a test; no visible shortcut, duplication, or safeguard removal in the diff."
keras#967304a60c246604f1b8fdff6448419c292099e4,keras,967304a60c246604f1b8fdff6448419c292099e4,https://github.com/keras-team/keras/commit/967304a60c246604f1b8fdff6448419c292099e4,0,0,Increased code structure via layering,79,38,1,16,no,0.93,"Mostly framework/API migration and refactoring; no clear new shortcut, duplication, weakened safeguard, or concrete debt visible in the diff."
keras#2082bafd183eb6fea4778701f4c2c047970014f4,keras,2082bafd183eb6fea4778701f4c2c047970014f4,https://github.com/keras-team/keras/commit/2082bafd183eb6fea4778701f4c2c047970014f4,0,0,Simple one-line changes,3,3,1,2,no,0.98,"Visible change fixes a likely bug and exposes an existing parameter; no clear duplication, complexity increase, or removed safeguard in the diff."
keras#bd17007c12780d3eea06643ea1e7805c811e9f19,keras,bd17007c12780d3eea06643ea1e7805c811e9f19,https://github.com/keras-team/keras/commit/bd17007c12780d3eea06643ea1e7805c811e9f19,0,0,Simple text change,2,2,1,2,no,0.99,"Docstring formatting only; no code logic, complexity, duplication, or safeguard changes visible."
scrapy#9408c77a1e16df89feeab055d3530ebad66555e1,scrapy,9408c77a1e16df89feeab055d3530ebad66555e1,https://github.com/scrapy/scrapy/commit/9408c77a1e16df89feeab055d3530ebad66555e1,1,1,"Stubbed methods, missing safeguards",136,0,2,1,yes,0.97,"Introduces multiple TODOs and placeholder pass handlers, plus incomplete request handling and connectionLost logic, indicating explicit unfinished implementation."
keras#c333b2baa938ebce4a4944056f3f3e527b980086,keras,c333b2baa938ebce4a4944056f3f3e527b980086,https://github.com/keras-team/keras/commit/c333b2baa938ebce4a4944056f3f3e527b980086,0,0,Simple one-line changes,15,0,5,10,no,0.93,"Visible changes are repetitive export annotations/imports across files; no clear shortcut, weakened safeguard, or added complexity is directly shown."
flask#7233a3e0a223e8d426ff937f5c03d88636b0ade4,flask,7233a3e0a223e8d426ff937f5c03d88636b0ade4,https://github.com/pallets/flask/commit/7233a3e0a223e8d426ff937f5c03d88636b0ade4,0,0,Simple text change / typo fix,1,1,1,1,no,0.99,"Single typo fix in a docstring; no added complexity, duplication, coupling, or weakened safeguards."
scrapy#8480f49cf627f745f4d3f31fb068878ed2f1d8d5,scrapy,8480f49cf627f745f4d3f31fb068878ed2f1d8d5,https://github.com/scrapy/scrapy/commit/8480f49cf627f745f4d3f31fb068878ed2f1d8d5,1,0,"Refactoring, moving code, removed obsolete code, no introduction of TD",246,550,22,47,yes,0.95,"Introduces a TODO-commented, commented-out test block and a likely broken format string in profiler; both are visible shortcuts/quality issues."
scrapy#00cd4f0fa598fb1aa55084e3326ee302bbd88b38,scrapy,00cd4f0fa598fb1aa55084e3326ee302bbd88b38,https://github.com/scrapy/scrapy/commit/00cd4f0fa598fb1aa55084e3326ee302bbd88b38,0,0,Only added warnings / error handling,20,2,1,6,no,0.93,"Adds deprecation warnings and wraps existing initialization; no clear complexity increase, duplication, weakened safeguards, or temporary workaround introduced."
scrapy#921fc4f3bf00c82c4dc8673206e06fe8e1f5927f,scrapy,921fc4f3bf00c82c4dc8673206e06fe8e1f5927f,https://github.com/scrapy/scrapy/commit/921fc4f3bf00c82c4dc8673206e06fe8e1f5927f,1,0,"Refactoring, mainly renamings, removed obsolete code, no introduction of TD",387,405,27,138,yes,0.91,"Introduces substantial local complexity and coupling by renaming domain-based APIs to spider-based ones across many modules, plus adds new branching in argument parsing."
keras#695a928224bb8d5efc6483fce1c40dae65dc7bbd,keras,695a928224bb8d5efc6483fce1c40dae65dc7bbd,https://github.com/keras-team/keras/commit/695a928224bb8d5efc6483fce1c40dae65dc7bbd,0,0,"Simple, low-complexity change",31,1,2,4,no,0.93,"Adds masking support and a test; no clear shortcut, duplication, weakened safeguard, or other technical debt directly visible."
flask#7183aefd6271fb9d9398b8d721dea15a699ed501,flask,7183aefd6271fb9d9398b8d721dea15a699ed501,https://github.com/pallets/flask/commit/7183aefd6271fb9d9398b8d721dea15a699ed501,0,0,Only text change,2,1,1,1,no,0.99,"Documentation-only change; no visible code complexity, duplication, coupling, or safeguard removal."
keras#14cf11eb0474898c5451b8ea9770dd0d36f4e5d1,keras,14cf11eb0474898c5451b8ea9770dd0d36f4e5d1,https://github.com/keras-team/keras/commit/14cf11eb0474898c5451b8ea9770dd0d36f4e5d1,0,0,Single-line text-reformatting,2,4,1,1,no,0.99,"Single formatting/string-change only; no added complexity, duplication, coupling, or removed safeguards visible."
keras#42d682de1780005e9dfd0e40d427b84888153c74,keras,42d682de1780005e9dfd0e40d427b84888153c74,https://github.com/keras-team/keras/commit/42d682de1780005e9dfd0e40d427b84888153c74,0,0,Single-line change,1,1,1,1,no,0.98,"Single API replacement reduces protected-access coupling; no visible complexity, duplication, or weakened safeguards introduced."
keras#707c2448e2af285d41909953e7f20dd667c9a221,keras,707c2448e2af285d41909953e7f20dd667c9a221,https://github.com/keras-team/keras/commit/707c2448e2af285d41909953e7f20dd667c9a221,0,1,Brittle coupling between module internals and API,75,45,2,8,no,0.86,"Refactor replaces a hardcoded autogenerated block with generated imports; no clear new shortcut, duplication, or safeguard removal is directly visible."
keras#04cbccc8038c105374eef6eb2ce96d6746999860,keras,04cbccc8038c105374eef6eb2ce96d6746999860,https://github.com/keras-team/keras/commit/04cbccc8038c105374eef6eb2ce96d6746999860,0,0,Simple one-line change,1,1,1,1,no,0.99,"Single-line API substitution only; no visible complexity, duplication, weakened safeguards, or temporary workaround."
scrapy#d0a81d369f2066239930aa4ab4f6d093807c2780,scrapy,d0a81d369f2066239930aa4ab4f6d093807c2780,https://github.com/scrapy/scrapy/commit/d0a81d369f2066239930aa4ab4f6d093807c2780,1,0,"Only tests, no complexity increase / shortcuts",143,0,2,2,yes,0.95,"Introduces commented-out production test path and explicit temporary workaround/disabled test via FIXME and SkipTest, a visible shortcut."
keras#3feca20c59a233ddd75a7d333f0bed22942423f3,keras,3feca20c59a233ddd75a7d333f0bed22942423f3,https://github.com/keras-team/keras/commit/3feca20c59a233ddd75a7d333f0bed22942423f3,0,0,"Removed obsolete / deprecated code, removed unused imports",14,12,5,9,no,0.97,"Visible changes add generator arguments and remove deprecated-argument handling, but no clear shortcut, duplication, or safeguard removal is introduced."
keras#07baa958f5d04a7b027658488b580b332e230bb4,keras,07baa958f5d04a7b027658488b580b332e230bb4,https://github.com/keras-team/keras/commit/07baa958f5d04a7b027658488b580b332e230bb4,1,0,"Added well-documented, clean code",519,13,6,9,yes,0.97,Introduces two new optimizer implementations with substantial duplicated structure and multiple TODO/pass stubs leaving clipping tests unimplemented.
scrapy#1fc2bc34898f24480b0f5f6a315b523211d768e8,scrapy,1fc2bc34898f24480b0f5f6a315b523211d768e8,https://github.com/scrapy/scrapy/commit/1fc2bc34898f24480b0f5f6a315b523211d768e8,0,0,Simple one-line changes,3,4,1,4,no,0.98,"Refactor replaces a dict with a single slot attribute; no visible complexity increase, duplication, weakened safeguards, or temporary workaround."
scrapy#9ff9caecadf8215ce75b0ad4231b8289bca168fe,scrapy,9ff9caecadf8215ce75b0ad4231b8289bca168fe,https://github.com/scrapy/scrapy/commit/9ff9caecadf8215ce75b0ad4231b8289bca168fe,1,0,"low-complexity changes, removed obsolete code",139,58,2,34,yes,0.86,"Introduces new coupling between protocol and stream via connection injection, plus added pending-request pool and multiple responsibilities in modified methods."
keras#403d5778756efd12c1cf8a0904ffa910809df66f,keras,403d5778756efd12c1cf8a0904ffa910809df66f,https://github.com/keras-team/keras/commit/403d5778756efd12c1cf8a0904ffa910809df66f,1,0,"Small refactor, removed obsolete code",12,44,2,15,no,0.93,"Refactor removes shared-process state and simplifies worker indexing; no clear new shortcut, duplication, or safeguard removal is visible."
scrapy#03751749a80526f3d97f60f0f63892501ef5de19,scrapy,03751749a80526f3d97f60f0f63892501ef5de19,https://github.com/scrapy/scrapy/commit/03751749a80526f3d97f60f0f63892501ef5de19,1,1,"Hidden control flow, coupling to unrelated middleware, missing safeguards, stubbed method",79,198,12,42,yes,0.95,"Introduces TODO-marked workaround in media pipeline, removes scheduler middleware abstraction, and leaves Scheduler.clear_pending_requests as pass."
keras#4adac05131e14980d56bc6b3ac4a8e6375cfdb52,keras,4adac05131e14980d56bc6b3ac4a8e6375cfdb52,https://github.com/keras-team/keras/commit/4adac05131e14980d56bc6b3ac4a8e6375cfdb52,1,0,Smaller changes,38,9,3,15,no,0.93,"Feature expansion and tests only; no clear duplication, weakened safeguards, or explicit temporary workaround introduced in the diff."
fastapi#abe695ba9ac8f02cda7481cb601ee1ea20a9e5d8,fastapi,abe695ba9ac8f02cda7481cb601ee1ea20a9e5d8,https://github.com/fastapi/fastapi/commit/abe695ba9ac8f02cda7481cb601ee1ea20a9e5d8,0,0,Tutorials,417,0,13,12,no,0.93,"Visible changes are new tutorial examples and router wiring; no clear duplication, safeguard removal, or concrete shortcut introduced in diff."
requests#245c6edec34efd3216da2bd685a73fe411399b82,requests,245c6edec34efd3216da2bd685a73fe411399b82,https://github.com/psf/requests/commit/245c6edec34efd3216da2bd685a73fe411399b82,1,0,No code change,3,0,1,1,no,0.98,Only a TODO comment was added; it acknowledges future work but does not introduce new shortcut code or removed safeguards.
keras#18a812e1dfa793f541e9bcf9705c62a77546c7ee,keras,18a812e1dfa793f541e9bcf9705c62a77546c7ee,https://github.com/keras-team/keras/commit/18a812e1dfa793f541e9bcf9705c62a77546c7ee,1,0,Changed only comment text,2,3,1,1,no,0.98,"Only comment wording changed; no visible new shortcut, complexity, duplication, or safeguard removal in the Python diff."
flask#f01b654ac4c0a4789369440557267b75df55fd59,flask,f01b654ac4c0a4789369440557267b75df55fd59,https://github.com/pallets/flask/commit/f01b654ac4c0a4789369440557267b75df55fd59,0,0,Simple one-line change,1,1,1,1,no,0.99,"Single test assertion change only; no added complexity, duplication, coupling, or removed safeguards visible."
scrapy#d8af395d7654ba659aa29060cf3cf0ed3dfe1174,scrapy,d8af395d7654ba659aa29060cf3cf0ed3dfe1174,https://github.com/scrapy/scrapy/commit/d8af395d7654ba659aa29060cf3cf0ed3dfe1174,1,1,Stubbed error handling,1117,7,23,30,no,0.93,"Large feature addition, but no directly visible shortcut, duplication, or safeguard removal in the shown Python diff."
keras#791de01d4e661f977f6de272421ce01e2daa183b,keras,791de01d4e661f977f6de272421ce01e2daa183b,https://github.com/keras-team/keras/commit/791de01d4e661f977f6de272421ce01e2daa183b,1,0,Clean feature addition,1439,0,4,4,no,0.93,"Visible additions are mostly wrapper utilities and tests; no clear duplication, weakened safeguards, or local complexity increase in modified Python diff."
scrapy#eaf3a239e48a503e4e5e4e81d3daf4a0f1f97efe,scrapy,eaf3a239e48a503e4e5e4e81d3daf4a0f1f97efe,https://github.com/scrapy/scrapy/commit/eaf3a239e48a503e4e5e4e81d3daf4a0f1f97efe,1,1,"Debug prints, high complexity due to nesting in try/catch blocks, duplicate logic",55,23,2,18,yes,0.93,"Introduces mixed boto/botocore branching, added debug print, and duplicated signing paths in one function, increasing local complexity and maintenance burden."
keras#3ecf201aeaf97c90fd8ba02a61c4a766b4b0cfb9,keras,3ecf201aeaf97c90fd8ba02a61c4a766b4b0cfb9,https://github.com/keras-team/keras/commit/3ecf201aeaf97c90fd8ba02a61c4a766b4b0cfb9,1,1,Code duplication,809,6,3,20,no,0.93,"Large feature addition, but visible diff shows no explicit shortcuts, duplication beyond straightforward patterns, or removed safeguards."
scrapy#f3013bb9adabbe6bc1dc2a7f131e487e9f9f4421,scrapy,f3013bb9adabbe6bc1dc2a7f131e487e9f9f4421,https://github.com/scrapy/scrapy/commit/f3013bb9adabbe6bc1dc2a7f131e487e9f9f4421,0,1,Defined / documented parameters (define_from) with no implementation,83,13,2,7,no,0.93,"Visible refactor introduces a pipeline abstraction and moves extraction logic, but no clear shortcut, duplication, weakened safeguard, or concrete debt is directly shown."
keras#93c1151c0b0c70782d63ba214d8e5715546ddb24,keras,93c1151c0b0c70782d63ba214d8e5715546ddb24,https://github.com/keras-team/keras/commit/93c1151c0b0c70782d63ba214d8e5715546ddb24,1,0,"Clean refactoring, e.g. removing prior TD by properly handling imports",149,4,3,5,no,0.93,"Adds lazy tfio import and a new test file; no clear duplication, weakened safeguards, magic numbers, or other visible technical debt in the diff."
keras#6cf28ba09bd3fe60a7cfd5981231138ca3be2135,keras,6cf28ba09bd3fe60a7cfd5981231138ca3be2135,https://github.com/keras-team/keras/commit/6cf28ba09bd3fe60a7cfd5981231138ca3be2135,0,1,Giant block of commented-out / dead code,167,0,1,1,no,0.86,"New wrapper class adds functionality, but no clear shortcut, duplication, weakened safeguard, or explicit temporary workaround is visible in the diff."
