commit_uid,variant,trial,label,label_int,confidence,rationale
requests#7dd37d5ea91cd26c869a39b5a200136305c6f3bb,v2_rubric_json,0,no,0,0.97,"Visible changes are import rewrites only; no added complexity, duplication, weakened safeguards, or explicit temporary workaround."
requests#f7abfa8a1426b018b99c9ac3237331b55bf7103c,v2_rubric_json,0,no,0,0.93,"Adds multipart POST support and local import path changes; no clear shortcut, duplication, weakened safeguard, or explicit temporary workaround is visible."
requests#a16278e85dc1dda84e55f2f63e4d56cb60329601,v2_rubric_json,0,no,0,0.98,"Diff removes broad exception handling and simplifies repr methods; no visible shortcut, duplication, or weakened safeguard introduced."
requests#4c8b428bbd3800cafa0e3764512eb719f67315f0,v2_rubric_json,0,no,0,0.99,"Pure syntax modernization of exception handling; no added complexity, duplication, weakened safeguards, or temporary workaround visible."
requests#4c192ec5acd4417fe60b5a63ea3c6a5c034c1d45,v2_rubric_json,0,no,0,0.98,"Pure import-path refactor across files; no added complexity, duplication, weakened safeguards, or temporary workaround visible."
requests#3216bda17432dcb0e7480ba0068b927f7ff746b5,v2_rubric_json,0,no,0,0.93,"Adds multipart PUT handling and reorders an existing comment; no clear shortcut, duplication, or weakened safeguard is directly visible."
requests#e89eba79dfb51e7d88de1fe85ba2b61ed92a8dac,v2_rubric_json,0,no,0,0.97,"Small correctness fix adding response.url and tightening GET check; no visible shortcut, duplication, or weakened safeguard introduced."
requests#324c572b6496f2f39cf0f266012df1f9f4930568,v2_rubric_json,0,no,0,0.97,"Rename from multipart_files to files is mechanical; no visible complexity, duplication, weakened safeguards, or temporary workaround introduced."
requests#02834e353d7a9d9a6dff5a2c2ee5ba477f83d46c,v2_rubric_json,0,no,0,0.97,"Adds a straightforward test case and import; no visible shortcuts, duplication, weakened safeguards, or complexity increase in the diff."
requests#9f9ebecec27108db292a31397e44d447f4ebfeb9,v2_rubric_json,0,no,0,0.98,"Version/package metadata updates only; no visible complexity, duplication, weakened safeguards, or temporary workaround introduced."
requests#e1659ed7afb674006f6ce07f9908a7bccb7a8474,v2_rubric_json,0,no,0,0.96,"Small feature/CLI change and description edit; no clear complexity increase, duplication, weakened safeguards, or explicit temporary workaround."
requests#10280c697dcfd3d334f1c9c381a11c324bb550bc,v2_rubric_json,0,no,0,0.95,"Refactoring extracts repeated response-building into a helper; no clear shortcut, duplication, or safeguard removal is introduced."
requests#09740c35e1e148b41a7f1384a38e33011471d9dc,v2_rubric_json,0,no,0,0.99,"Single typo fix from 'sself' to 'self'; no added complexity, duplication, weakened safeguards, or temporary workaround visible."
requests#f70e89a163208076f12577cd98ce09650b9d1241,v2_rubric_json,0,no,0,0.98,"Adds a fallback import for compatibility; no visible complexity, duplication, weakened safeguards, or temporary workaround introduced."
requests#bfe91296cbf990ce579639777412f5395e951247,v2_rubric_json,0,no,0,0.93,"Visible change adds optional monkey-patching fallbacks; no clear duplication, complexity increase, or removed safeguard is directly shown."
requests#cde3b88f3e93a9503810acc0ded890025fcbc119,v2_rubric_json,0,no,0,0.97,"Visible change only swaps monkey-patching fallback order; no clear added complexity, duplication, weakened safeguards, or temporary workaround introduced."
requests#2203c3bccd5e4888a16d73247d540fd6e359d29c,v2_rubric_json,0,yes,1,0.97,"Introduces a likely bug and weakened clarity: cookie handling uses undefined `cookiejar`, and commented-out production code remains in place."
requests#4452934929b3addd7c8188d4ea8132b41157daef,v2_rubric_json,0,no,0,0.98,"Only comment cleanup and minor formatting changes are visible; no added complexity, duplication, weakened safeguards, or temporary workaround."
requests#b09218d5aceff0062e59bb2d93150e0b48b1dcc2,v2_rubric_json,0,no,0,0.98,"Only comments out existing code; no new shortcut, duplication, or weakened safeguard is introduced in the visible diff."
requests#16e5119b2ad8be05673b5f8762cd71edaa0cd882,v2_rubric_json,0,no,0,0.97,"Adds a simple fallback path for requests without auth/cookiejar; no visible duplication, weakening, or temporary workaround."
requests#5fe24abfb99fd9850352329de9c4c091a8a71a05,v2_rubric_json,0,no,0,0.98,"Replaces commented-out code with active monkey-patching; no visible new shortcut, duplication, or weakened safeguard introduced."
requests#f023c81dad05fd8c5e9c1979b26c3c9ecfc4cf3b,v2_rubric_json,0,no,0,0.98,"Adds a cookies parameter consistently across request helpers; no visible shortcut, duplication, safeguard removal, or complexity increase."
requests#397bd4b67688fe8b35b5c17a6f1d6f43ab076c18,v2_rubric_json,0,no,0,0.99,"Only a docstring typo fix and whitespace change are visible; no added complexity, duplication, weakened safeguards, or temporary workaround."
requests#98c8a78c3e0f3827ef4ba304de9fa74666f0be0e,v2_rubric_json,0,no,0,0.99,"Documentation-only parameter comment additions and typo fix; no visible complexity, duplication, weakened safeguards, or temporary workaround."
requests#d511e6f148d03b5e52228b54064a24eb47c9e756,v2_rubric_json,0,no,0,0.99,"Pure version-bump changes only; no added complexity, duplication, weakened safeguards, or temporary workaround visible."
requests#c900b4379b9bda3fb8491fa3bd96fdfa2f163a3f,v2_rubric_json,0,no,0,0.86,"Refactor adds response state and error propagation; no clear shortcut, duplication, weakened safeguard, or complexity increase is directly visible."
requests#ce122cc811e937d72272c28231065363d351d3d1,v2_rubric_json,0,no,0,0.98,"Single type change from False to None; no visible complexity, duplication, weakened safeguard, or temporary workaround."
requests#748633d616db4e27bb00530d8db5afa660460a67,v2_rubric_json,0,no,0,0.99,"Pure rename only; no added complexity, duplication, weakened safeguards, or temporary workaround visible in the diff."
requests#4f1301f6ad24505e67125ee3b316c8e4cdbdf409,v2_rubric_json,0,no,0,0.99,"Single import addition only; no visible complexity, duplication, weakened safeguards, or temporary workaround introduced."
requests#7ad08c5edaf68330cb9753634f4b80dfca00f686,v2_rubric_json,0,no,0,0.97,"Adds straightforward tests for response truthiness, ok, and raise_for_status; no visible shortcuts, duplication, or weakened safeguards."
requests#4ad73c3655a2c0fd3862e7803d02f1ff4006e18b,v2_rubric_json,0,no,0,0.99,"Only whitespace/blank-line changes in a test file; no visible complexity, duplication, weakened safeguards, or temporary workaround introduced."
requests#933cf49daa524bb1ea89e82ecbcb5c57d8ae03e2,v2_rubric_json,0,no,0,0.99,"Version/build constant bump only; no added complexity, duplication, weakened safeguards, or temporary workaround visible."
requests#d5256802d468e997f71ba2ff3069b327cf978a5e,v2_rubric_json,0,no,0,0.99,"Single version bump only; no added complexity, duplication, weakened safeguards, or temporary workaround visible."
requests#34ca692c9cee4b9d146b8cd276d00ca4a7df8cb1,v2_rubric_json,0,no,0,0.98,"Visible changes are only adding future-imports and blank lines; no complexity, duplication, weakened safeguards, or temporary workaround is introduced."
requests#f4c4bf3d0b8d8a09ec645f4064522852d0c5f9ee,v2_rubric_json,0,no,0,0.96,"Mostly refactors request setup into constructor calls and removes duplicated assignments; no clear shortcut, weakened safeguard, or added complexity is visible."
requests#015d6b78d5035a6a19402b21cd963cd13ec82f83,v2_rubric_json,0,no,0,0.98,"Diff is formatting-only and line wrapping; no added complexity, duplication, weakened safeguards, or temporary workaround is visible."
requests#6bde9551709444a9b3859ae33b6174edcc99b03e,v2_rubric_json,0,no,0,0.98,"Visible changes are import style and Python 2 exception syntax; no clear complexity, duplication, weakened safeguards, or temporary workaround introduced."
requests#b82e72eb04156f269aa393b1805e7d9de48f6b62,v2_rubric_json,0,no,0,0.98,"Adds a compatibility import fallback only; no visible complexity, duplication, weakened safeguards, or temporary workaround introduced."
requests#fbe0393eb34e975022cd3bf884dc94a6f5aa886d,v2_rubric_json,0,no,0,0.98,"Simple compatibility import change; no visible complexity, duplication, weakened safeguards, or temporary workaround introduced."
requests#e8234a013752ee8bae05c142d1950023c4a9fa8b,v2_rubric_json,0,no,0,0.98,"Pure import-style change adding explicit relative imports and future import; no visible complexity, duplication, weakened safeguards, or temporary workaround."
requests#8eafb8d3dfd9ead6e9f02f9854ef46720d712cb0,v2_rubric_json,0,no,0,0.86,"Visible changes are feature/test adjustments and cleanup; no clear shortcut, duplication, weakened safeguard, or explicit temporary workaround is directly shown."
requests#5072399f7af38ab14d638838a5e45818ca9ede41,v2_rubric_json,0,no,0,0.98,"Visible change is a simple import style adjustment; no added complexity, duplication, weakened safeguards, or self-admitted shortcut."
requests#a34e0bea8beb9f19706d751adbaa4f1c9234b37f,v2_rubric_json,0,no,0,0.99,"Pure version/build constant update; no added complexity, duplication, coupling, or weakened safeguards visible."
requests#433452f9f147ce14dae0389c46a2f35ea4be9e30,v2_rubric_json,0,no,0,0.98,"Small packaging change replacing a hard-coded version with a module version reference; no visible shortcut, duplication, or safeguard removal."
requests#d2584ff853c2cc319daa5ad5e93486f96c595d0e,v2_rubric_json,0,no,0,0.98,"Only uncommented existing classifier metadata; no added complexity, duplication, weakened safeguards, or temporary workaround."
requests#720d0b2c38bd5c8dcc03a1a1de23a976c76f5f87,v2_rubric_json,0,no,0,0.98,"Single import change only; no visible complexity, duplication, weakened safeguards, or temporary workaround introduced."
requests#d1c89333d05fbfefd2fa71e835164b59f40bc1e2,v2_rubric_json,0,no,0,0.86,"Refactor consolidates request logic and removes duplicated branches; no clear shortcut, dead code, or weakened safeguard is directly introduced."
requests#3b82b06adcb77c4a62ffd3ef7526d9f4385dfb00,v2_rubric_json,0,no,0,0.93,"Mostly version metadata and initialization code; no clear duplication, weakened safeguards, or explicit temporary workaround introduced."
requests#edfdef23963ab1c5a0424f16f97cdc39dccae34a,v2_rubric_json,0,no,0,0.86,"Visible changes add auth manager functionality and remove old autoauth helpers; no clear shortcut, duplication, or weakened safeguard is directly shown."
requests#15761fc1267f11d5ec348125c4c7b3ac58926b8e,v2_rubric_json,0,no,0,0.98,"Small conditional adds handler type support; no visible duplication, weakening, magic values, or other debt indicators in the diff."
requests#718f45698de90994effa734ac6d608e92008c177,v2_rubric_json,0,no,0,0.99,"Single metadata string change only; no added complexity, duplication, weakened safeguards, or temporary workaround visible."
requests#f96157d259e43d9dfa9adeae54a9779004d35cf6,v2_rubric_json,0,no,0,0.99,"Single default-argument change from bytes to string; no visible complexity, duplication, weakened safeguards, or temporary workaround."
requests#e788ca7ee629f7ed8700d31bbdf7a2930c1a7398,v2_rubric_json,0,no,0,0.97,"The change adds defensive getattr handling and reorders assignments; no visible complexity, duplication, weakened safeguards, or temporary workaround."
requests#6f5b64bca68489c31c7f5a62a31024bf0ddd8aa9,v2_rubric_json,0,no,0,0.95,"Refactors handler construction into a helper and reuses it; no clear shortcut, duplication, or weakened safeguard is visible."
requests#47ecb3662d69e57a031b504d361e277f64109a30,v2_rubric_json,0,no,0,0.99,"Mechanical replacement of list concatenation with extend; no visible complexity, duplication, weakened safeguards, or temporary workaround."
requests#e7b8e9371a0ee9bb9bb8e2269474ca67088cdc86,v2_rubric_json,0,no,0,0.93,"Mostly formatting and metadata changes; no clear new shortcut, duplication, weakened safeguard, or added complexity is directly visible."
requests#3fe4753d5d3afd9f02f80675f4ff60259ab4e450,v2_rubric_json,0,no,0,0.97,"Mostly documentation and formatting changes; no visible complexity increase, duplication, weakened safeguards, or temporary workaround introduced."
requests#9a1d90d184d5830f4bc31b1c328e0c4ed066f2d0,v2_rubric_json,0,no,0,0.95,"Only documentation text changed; no visible code shortcut, duplication, safeguard removal, or complexity increase in the Python diff."
requests#ccb7fdd8c23e9d1181b455be1e21c82623fd78d4,v2_rubric_json,0,no,0,0.99,"Version/build constant update only; no added complexity, duplication, weakened safeguards, or temporary workaround visible."
requests#14ba99f97503baeb341075312a5e173091f43329,v2_rubric_json,0,no,0,0.97,"Diff shows only whitespace/formatting changes and no visible complexity, duplication, weakened safeguards, or temporary workaround."
requests#32f75585adf97ec4bb9c3b39de409deb5c2795e3,v2_rubric_json,0,no,0,0.93,"Visible changes are small refactors and URL-building helper extraction; no clear duplication, weakened safeguards, or explicit shortcut introduced."
requests#a74e95478822e59c2ae659c6af77148530d36ff9,v2_rubric_json,0,yes,1,0.97,"Introduces commented-out production code and a TODO-marked incomplete test path, both explicit shortcuts increasing future maintenance."
requests#b3b2b192127b02984e201176a3eda040d480ee8f,v2_rubric_json,0,yes,1,0.98,"Production code adds commented-out line and test code is weakened with commented assertions and debug prints, introducing explicit maintenance shortcuts."
requests#b252cd84037053bd7675d1ff41c102ce237cd0ae,v2_rubric_json,0,no,0,0.86,"Visible changes are a feature fix/refactor: data encoding is centralized and multipart handling adjusted. No clear shortcut, duplication, or safeguard removal is directly shown."
requests#839c8cf150be3ebe80cbcb6e67f955405665c9e2,v2_rubric_json,0,no,0,0.93,"Mostly test expectation updates and reordering; no clear shortcut, duplication, or weakened safeguard is introduced in the visible diff."
requests#f8032e08aeeff297ce72d8539be57207b97cf0f7,v2_rubric_json,0,no,0,0.98,"Only removes a TODO comment and a print statement, plus whitespace changes; no new shortcut, duplication, or weakened safeguard is introduced."
requests#e4c690e7bcf90c78bc052b52b284c1fa599b1f8f,v2_rubric_json,0,no,0,0.93,"Visible changes add cookie handling and a test; no clear duplication, weakened safeguards, magic numbers, or temporary workaround introduced."
requests#9fdee250de7e1aa0c92db5fb435cf1f2f8efe7e7,v2_rubric_json,0,no,0,0.98,"Single-line change reduces coupling risk by updating headers instead of replacing them; no visible complexity, duplication, or weakened safeguards."
requests#e17111a5dd3049a614cbb2ad2db2bf1c4f72edfd,v2_rubric_json,0,no,0,0.98,"Adds a straightforward test case; no visible duplication, weakened safeguards, magic values, or other debt indicators in the diff."
requests#a67cc5c5a98e79545caa89f665bf1528c0c832f4,v2_rubric_json,0,no,0,0.97,"Mostly a parameter rename and truthiness check cleanup; no clear duplication, complexity increase, weakened safeguard, or temporary workaround is visible."
requests#89192c64f04e9fa49adfc6cf35e10bd98bd64a8e,v2_rubric_json,0,no,0,0.98,"Null-check refinement only; no added complexity, duplication, weakened safeguards, or temporary workaround visible."
requests#2401f149750337970300383634f3942e9da3c68f,v2_rubric_json,0,no,0,0.86,"Visible changes add header handling and a test; no clear shortcut, duplication, weakened safeguard, or admitted temporary workaround is introduced."
requests#e350bea167b0bbbd6bc5da6d42036bc560ccde15,v2_rubric_json,0,no,0,0.98,"Adds a simple accessor and removes a blank line; no visible complexity, duplication, weakened safeguards, or temporary workaround."
requests#f2b04f94ca689bb4cc1d9f3c4a85476b17dc5c5d,v2_rubric_json,0,no,0,0.98,"Small refactor adds a Response.read method and redirects Request.read; no visible duplication, complexity increase, or weakened safeguards."
requests#ed8ff63048a5ccaf304e2a59bfed58c9206cfd69,v2_rubric_json,0,no,0,0.99,"Version/build constant bump only; no added complexity, duplication, weakened safeguards, or temporary workaround visible."
requests#23d5761bd4676c6bcbe99d4da27b190837330bb7,v2_rubric_json,0,no,0,0.98,"Minor signature widening only; no visible complexity, duplication, weakened safeguards, or temporary workaround introduced."
requests#7a62b10ff2fb5091d77aaf63d1ab091713ead332,v2_rubric_json,0,no,0,0.93,"Adds gzip decompression handling; no clear duplication, dead code, weakened safeguard, or explicit temporary workaround visible in the diff."
requests#1359094cc8a46732c146486b3feb0d6fa09ca7f0,v2_rubric_json,0,no,0,0.97,"Adds a small test method only; no visible shortcut, duplication, weakened safeguard, or complexity increase in the diff."
requests#2814664e91d9a7516f0f5f156fb482b9109a8b5b,v2_rubric_json,0,yes,1,0.93,"Introduces silent exception swallowing in add_password and weakens get_auth to return None implicitly after added matching logic, increasing maintenance risk."
requests#f494cd9c7283f9f920d04a59ed47efd5ae0c284a,v2_rubric_json,0,no,0,0.97,"Adds a straightforward test and removes a debug print; no visible duplication, weakening, or shortcut in the diff."
requests#6e14d4704d87f572ab3257956bf7f32b0e6dab79,v2_rubric_json,0,no,0,0.99,"Version bump only; no visible complexity, duplication, weakened safeguards, or temporary workaround introduced."
requests#b8b87d416e5e76b5aab322bd38f0b1cfb9218d01,v2_rubric_json,0,no,0,0.98,"Small conditional change only; no visible complexity increase, duplication, weakened safeguards, or temporary workaround in the diff."
requests#d3a46c822f635f2278536a8960af029e77f21e4b,v2_rubric_json,0,no,0,0.93,"Visible diff is a self-contained class implementation with no explicit shortcuts, removals, dead code, or duplicated new logic."
requests#d93731213afad71d8125551ebcbdda0a66691622,v2_rubric_json,0,no,0,0.96,"Adds timeout plumbing across wrappers; visible duplication is mechanical and no clear shortcut, safeguard removal, or complexity increase is introduced."
requests#77f4b8a75e804b83cca7c917a16bec93fdd6b302,v2_rubric_json,0,yes,1,0.95,"Introduces a new global mutable settings context manager with shared cache and pass __enter__, plus a module-level timeout default and added coupling to requests."
requests#64d6c3074f2e1bd5ae5f5d786f83d592a5a56ead,v2_rubric_json,0,no,0,0.98,"This is a simplification/removal of extensions, with no visible added complexity, duplication, weakened safeguards, or temporary workaround."
requests#8a4a05aac071095ff26d5cf3b4949cbcd01b3cef,v2_rubric_json,0,no,0,0.98,"Adds straightforward tests only; no visible shortcuts, duplication, weakened safeguards, or complexity increase in the diff."
requests#b6f6048cff7189afee6a4fb89f9f0cdca0095b66,v2_rubric_json,0,no,0,0.93,"Visible changes are small refactors and encoding handling; no clear duplication, weakened safeguards, or added complexity is directly shown."
requests#01b22a7e127d1b9c90d02a7101267b12ef1ed2ec,v2_rubric_json,0,no,0,0.99,"Version/build number bump only; no added complexity, duplication, weakened safeguards, or other visible technical debt."
requests#23ee58d6ec47a06358008cb7a4ab4f9556edc285,v2_rubric_json,0,no,0,0.93,"Visible change replaces in-place mutation with explicit dict normalization and adds tests; no clear shortcut, duplication, or weakened safeguard is introduced."
requests#912f48eececb6355b3511416d4d5361aedbd5d08,v2_rubric_json,0,no,0,0.98,"Small correctness/compatibility cleanup replacing __class__ checks with isinstance; no added complexity, duplication, or weakened safeguards visible."
requests#1971bdbe6726af224d92723b3f5f12f26aa4277f,v2_rubric_json,0,no,0,0.97,"No clear shortcut, duplication, weakened safeguard, or added complexity is directly visible; the diff is a small control-flow reorder plus a test addition."
requests#b1e28c7fd8a9fe15d16a9636950559869b46ea96,v2_rubric_json,0,no,0,0.93,"No clear shortcut or degradation is introduced; changes are minor reordering and a redundant commented line, without visible complexity increase or weakened safeguards."
requests#1421ffa32ab4709c9a7634493803bd55a3c6615f,v2_rubric_json,0,yes,1,0.97,"Introduces a hard-coded workaround class with a no-op override and explicit pass-based exception suppression, increasing maintenance risk."
requests#14ef4622634ae8746bce600523cbed15a119d15a,v2_rubric_json,0,yes,1,0.97,"Introduces duplicated auth-handler logic in a new module and adds a bare pass in digest error handling, weakening safeguards."
requests#8ba12ff4f3fb17ad5b9f21076474cbd7558ca881,v2_rubric_json,0,no,0,0.98,"Mostly renames and import cleanup; no visible complexity increase, duplication, weakened safeguards, or temporary workaround introduced."
requests#fa1db9581477b8748b76344623e9b3eb8f77f4f9,v2_rubric_json,0,no,0,0.99,"Version/build bump only; no complexity, duplication, coupling, or safeguard removal visible."
requests#5172d24e66d748459963bc6a344a68023e44e183,v2_rubric_json,0,yes,1,0.97,"Introduces a simplistic CaseInsensitiveDict with duplicated lower-key lookups, odd __keys__ method, and commented-out super call, indicating shortcut implementation."
requests#e8ff405fce85bce50d41f57a894aa14331a1b564,v2_rubric_json,0,no,0,0.98,"Only removes an __all__ export list; no added complexity, duplication, weakened safeguards, or temporary workaround is visible."
requests#29aa7736ca24bb714996b8fe6c701ded7bae52e9,v2_rubric_json,0,no,0,0.98,Mostly a bug fix: converts a property to a method and removes an explicit KeyError raise; no clear debt pattern visible.
requests#85b8b2bd446ecfc7cee8b6e2f781f5f6f6e510a3,v2_rubric_json,0,no,0,0.93,"Visible changes reduce complexity and improve header handling; no clear shortcut, duplication, or removed safeguard is directly shown."
requests#35beda21b8187f7a5e99d76084c7ddbd05f4b738,v2_rubric_json,0,no,0,0.98,"Small constructor generalization; no visible complexity increase, duplication, weakened safeguards, or explicit temporary workaround."
requests#cd8ce63a3b6850afb5ba3c3677f5715907468f7e,v2_rubric_json,0,yes,1,0.97,"Introduces a new HTTPRedirectHandler with pass in redirect errors, weakening handling and adding commented-out production code."
requests#c40deefb8a192c83ceab0cfe745ed2bdf378130c,v2_rubric_json,0,no,0,0.98,"Only commented-out lines were removed; no new shortcut, duplication, complexity, or weakened safeguard is introduced."
requests#5708fe95657f2e00050acce95963b5cf72e8827c,v2_rubric_json,0,no,0,0.98,"Pure import-path change with no visible complexity increase, duplication, weakened safeguards, or other concrete debt in the diff."
requests#3cec61481cd8b9dd8d208437d52fb6d5014f7c1d,v2_rubric_json,0,no,0,0.98,"Single-line conditional narrows error assignment; no visible complexity, duplication, weakened safeguard, or temporary workaround introduced."
requests#51360e1ede1fd48ff46117ff36737cf4bca411a5,v2_rubric_json,0,no,0,0.99,"Version/build constant update only; no added complexity, duplication, weakened safeguards, or temporary workaround visible."
