commit_uid,commit_url,label_human_a,label_human_b,label_llm,label_gt,humans_agree,rationale_human_a,rationale_human_b,rationale_llm
keras#688d303bb7e44bdba7664b21555aa473de1c0a89,https://github.com/keras-team/keras/commit/688d303bb7e44bdba7664b21555aa473de1c0a89,0,1,1,,0,"Added actual implementations to certain functions, removed commented-out code",TODO in comments. SADT,"Introduces many explicit NotImplementedError/TODO workarounds and skips torch cases, plus a new hard-coded dtype map and several API-divergent shortcuts."
keras#6cf28ba09bd3fe60a7cfd5981231138ca3be2135,https://github.com/keras-team/keras/commit/6cf28ba09bd3fe60a7cfd5981231138ca3be2135,1,0,0,,0,Giant block of commented-out / dead code,no indication,"New wrapper class adds functionality, but no clear shortcut, duplication, weakened safeguard, or explicit temporary workaround is visible in the diff."
keras#707c2448e2af285d41909953e7f20dd667c9a221,https://github.com/keras-team/keras/commit/707c2448e2af285d41909953e7f20dd667c9a221,1,0,0,,0,Brittle coupling between module internals and API,"no issues, the complexity is on purpose","Refactor replaces a hardcoded autogenerated block with generated imports; no clear new shortcut, duplication, or safeguard removal is directly visible."
keras#70d7d07bd186b929d81f7a8ceafff5d78d8bd701,https://github.com/keras-team/keras/commit/70d7d07bd186b929d81f7a8ceafff5d78d8bd701,0,1,1,,0,"Clean implementation, even reducing cognitive load / unnecessary complexity in some places","many TODOs, mixture of several change motivations","Introduces new TODO-admitted workaround and direct internal API replacements across many files, increasing coupling and maintenance burden."
keras#75d9415c82b3bbba82095b11ac6c313b40de6066,https://github.com/keras-team/keras/commit/75d9415c82b3bbba82095b11ac6c313b40de6066,1,0,1,,0,Missing error and edge case handling,no indication,"Large new cntk backend adds substantial duplicated logic across files, plus many backend-specific test branches and skipped safeguards, increasing maintenance burden."
keras#76c5b616f2cac0d4d1852049d98ab8a067142373,https://github.com/keras-team/keras/commit/76c5b616f2cac0d4d1852049d98ab8a067142373,1,0,1,,0,"Increased complexity due to nesting and duplicated / nested checks, mapping would be cleaner",no indication,"Adds repeated near-identical branching for accuracy/crossentropy handling and duplicated suffix selection, increasing local complexity within one function."
keras#791de01d4e661f977f6de272421ce01e2daa183b,https://github.com/keras-team/keras/commit/791de01d4e661f977f6de272421ce01e2daa183b,0,1,0,,0,Clean feature addition,"TODO in comment, SATD","Visible additions are mostly wrapper utilities and tests; no clear duplication, weakened safeguards, or local complexity increase in modified Python diff."
keras#81db804d3147a846b056db73fd02bc78cad8cde6,https://github.com/keras-team/keras/commit/81db804d3147a846b056db73fd02bc78cad8cde6,0,0,1,0,1,Clean change,no indication,Adds a new test with an explicit TODO skip workaround and changes validation error text; the workaround introduces temporary debt.
keras#879a6c244c767cdfb8b2c23ae605869946868291,https://github.com/keras-team/keras/commit/879a6c244c767cdfb8b2c23ae605869946868291,0,1,1,,0,"Moved code, removed obsolete code","TODO in comment, SATD","Introduces explicit TODO-not-implemented stubs, debug prints, and weakened/removed safeguards in several backend functions and serialization paths."
keras#8feac19b8570fd15724c5f3138f08862176f0d89,https://github.com/keras-team/keras/commit/8feac19b8570fd15724c5f3138f08862176f0d89,0,1,0,,0,Clean implementation,Local complexity increase,"Adds metric update plumbing and TensorFlow-only guard, but no clear duplication, weakening, or other direct technical debt evidence is visible."
keras#a127de7007fe49413bd9167e179f5df12b6c100e,https://github.com/keras-team/keras/commit/a127de7007fe49413bd9167e179f5df12b6c100e,1,0,1,,0,"Deferred tests, dead code",no indication,Introduces a new helper with duplicated validation logic and added complexity; also adds a TODO comment indicating incomplete integration.
keras#a449efe29b092e658a29cd847e0494979a47d252,https://github.com/keras-team/keras/commit/a449efe29b092e658a29cd847e0494979a47d252,0,0,1,0,1,Low-complexity and well-documented integration of doctest,no indication,New doctest checker adds substantial logic and a new test module; also introduces a direct cross-module dependency in all_utils.
keras#b6b19cc28c1184f71efc4b630a8749a6aabcfabd,https://github.com/keras-team/keras/commit/b6b19cc28c1184f71efc4b630a8749a6aabcfabd,1,0,1,,0,Code duplicates,no indication,"New 1230-line module adds duplicated block definitions, repeated model wrappers, and hard-coded weight URLs/hashes, increasing maintenance burden."
keras#bb6dc0fbf4e02a34133f8d7e6f0517e70c9f63c5,https://github.com/keras-team/keras/commit/bb6dc0fbf4e02a34133f8d7e6f0517e70c9f63c5,0,0,1,0,1,Increased modularity and code robustness,no indication,"Adds new generator/PyDataset branches, duplicated class-weight handling, and a new helper with repeated logic across files, increasing local coupling and complexity."
keras#e27b2b333808fcde9b553d0748af80c3111c8f6b,https://github.com/keras-team/keras/commit/e27b2b333808fcde9b553d0748af80c3111c8f6b,0,1,0,,0,Only test cases,Added new TODO,"Visible changes are import/path rewrites and test decorator updates; no clear added complexity, duplication, weakened safeguards, or temporary workaround."
requests#245c6edec34efd3216da2bd685a73fe411399b82,https://github.com/psf/requests/commit/245c6edec34efd3216da2bd685a73fe411399b82,0,1,0,,0,No code change,"TODO in comment, SATD",Only a TODO comment was added; it acknowledges future work but does not introduce new shortcut code or removed safeguards.
requests#3a6d9b09dbb6cf7c279fd5f6ef9a51ebeeb905de,https://github.com/psf/requests/commit/3a6d9b09dbb6cf7c279fd5f6ef9a51ebeeb905de,0,1,1,,0,"Minimal change, one TODO comment added but regarding already existing code","TODO in comment, SATD","Introduces a TODO-marked workaround and hard-coded port change, both explicit shortcuts in the diff."
requests#5cfbb0aaf50e451179ede8bcd43ca55fbdfebad5,https://github.com/psf/requests/commit/5cfbb0aaf50e451179ede8bcd43ca55fbdfebad5,1,1,0,1,1,Magic numbers (fp.readline(80)) and avoidable complexity,unclear comment: #XXX correct line size,"Adds chunked-response handling and a small guard for empty lines; no clear duplication, weakened safeguard, or explicit temporary workaround is introduced."
requests#802bcc9ba3f21f65d5eab48588b930222845ce23,https://github.com/psf/requests/commit/802bcc9ba3f21f65d5eab48588b930222845ce23,1,1,0,1,1,Commented-out code / imports,commented codes committed,"Visible changes are mostly refactoring/renaming and API wiring; no clear new shortcut, duplication, or removed safeguard is directly shown."
requests#8fbb1e6d97cda90d588d4263a18906a52d147fba,https://github.com/psf/requests/commit/8fbb1e6d97cda90d588d4263a18906a52d147fba,0,0,1,0,1,"Clean addition of functions, concerns are separated",Self-contained feature additions with no visible shortcuts,"Introduces a new function with multiple responsibilities and nested fallback logic, plus a stray debug print and hard-coded fallback behavior."
requests#9576518d69b819b25cd036397d2624daa6ae088c,https://github.com/psf/requests/commit/9576518d69b819b25cd036397d2624daa6ae088c,0,1,1,,0,"Library added, no new TD authored","TODO in comment, SATD",Large new oauthlib codebase adds substantial duplicated OAuth logic across modules and multiple TODO/FIXME comments indicating incomplete implementation.
requests#f2629e9e3c7ce3c3c8c025bcd8db551101cbc773,https://github.com/psf/requests/commit/f2629e9e3c7ce3c3c8c025bcd8db551101cbc773,0,1,0,,0,One-line config change,unclear change purpose Removed or weakened safeguards,"Single-line removal of a parameter; no visible complexity, duplication, coupling, or explicit weakened safeguard in the diff."
scrapy#00cd4f0fa598fb1aa55084e3326ee302bbd88b38,https://github.com/scrapy/scrapy/commit/00cd4f0fa598fb1aa55084e3326ee302bbd88b38,0,1,0,,0,Only added warnings / error handling,Deprecated code as warning for future replacement,"Adds deprecation warnings and wraps existing initialization; no clear complexity increase, duplication, weakened safeguards, or temporary workaround introduced."
scrapy#27689009f177b9207b55a3443e2ab459243341df,https://github.com/scrapy/scrapy/commit/27689009f177b9207b55a3443e2ab459243341df,0,1,0,,0,"Simple bug / edge case fix, no td introduced",smelling code with import within function,"Small conditional import refactor with no visible duplication, complexity increase, or removed safeguards in the diff."
scrapy#3e8bcafd8b64bb6867eda05804a58144a2623ada,https://github.com/scrapy/scrapy/commit/3e8bcafd8b64bb6867eda05804a58144a2623ada,1,0,0,,0,Confusing nesting,no indication,"Adds a utility copytree/ignore_patterns and uses them to replace shutil.copytree; no clear shortcut, duplication, or weakened safeguard is directly visible."
scrapy#8480f49cf627f745f4d3f31fb068878ed2f1d8d5,https://github.com/scrapy/scrapy/commit/8480f49cf627f745f4d3f31fb068878ed2f1d8d5,0,0,1,0,1,"Refactoring, moving code, removed obsolete code, no introduction of TD",no indication,"Introduces a TODO-commented, commented-out test block and a likely broken format string in profiler; both are visible shortcuts/quality issues."
scrapy#921fc4f3bf00c82c4dc8673206e06fe8e1f5927f,https://github.com/scrapy/scrapy/commit/921fc4f3bf00c82c4dc8673206e06fe8e1f5927f,0,1,1,,0,"Refactoring, mainly renamings, removed obsolete code, no introduction of TD",comment explicity mentioning of pending changes in version 0.8,"Introduces substantial local complexity and coupling by renaming domain-based APIs to spider-based ones across many modules, plus adds new branching in argument parsing."
scrapy#9ff9caecadf8215ce75b0ad4231b8289bca168fe,https://github.com/scrapy/scrapy/commit/9ff9caecadf8215ce75b0ad4231b8289bca168fe,0,1,1,,0,"low-complexity changes, removed obsolete code","TODO in comment, SATD","Introduces new coupling between protocol and stream via connection injection, plus added pending-request pool and multiple responsibilities in modified methods."
scrapy#c07937c4df23567adde10ca39b12d85c53847ca6,https://github.com/scrapy/scrapy/commit/c07937c4df23567adde10ca39b12d85c53847ca6,0,1,0,,0,"Minimal change, one FIXME comment added but regarding already existing code","FIXME in comment, SATD","Only a FIXME comment and a cached return value were added; no new shortcut, duplication, or weakened safeguard is directly introduced."
scrapy#d0a81d369f2066239930aa4ab4f6d093807c2780,https://github.com/scrapy/scrapy/commit/d0a81d369f2066239930aa4ab4f6d093807c2780,0,1,1,,0,"Only tests, no complexity increase / shortcuts","FIXME comment, SATD","Introduces commented-out production test path and explicit temporary workaround/disabled test via FIXME and SkipTest, a visible shortcut."
scrapy#d8af395d7654ba659aa29060cf3cf0ed3dfe1174,https://github.com/scrapy/scrapy/commit/d8af395d7654ba659aa29060cf3cf0ed3dfe1174,1,0,0,,0,Stubbed error handling,no indication,"Large feature addition, but no directly visible shortcut, duplication, or safeguard removal in the shown Python diff."
scrapy#f3013bb9adabbe6bc1dc2a7f131e487e9f9f4421,https://github.com/scrapy/scrapy/commit/f3013bb9adabbe6bc1dc2a7f131e487e9f9f4421,1,0,0,,0,Defined / documented parameters (define_from) with no implementation,no indication,"Visible refactor introduces a pipeline abstraction and moves extraction logic, but no clear shortcut, duplication, weakened safeguard, or concrete debt is directly shown."
