commit_uid,variant,trial,label,label_int,confidence,rationale,repo_id,commit_hash,lines_added,lines_deleted,files_changed,label_satd,label_consolidated
scrapy#b94abf36a30df5482585b56c3e415856733ed9b3,v2_rubric_json,0,no,0,0.78,"Visible changes are feature/library additions and refactors; no explicit shortcuts, removals of safeguards, or clear duplication/dead code introduced.",scrapy,b94abf36a30df5482585b56c3e415856733ed9b3,1606,23,10,1,0
scrapy#921fc4f3bf00c82c4dc8673206e06fe8e1f5927f,v2_rubric_json,0,no,0,0.78,"Large refactor renames domain to spider and adds a fetch helper, but no clearly visible shortcut, duplication, or weakened safeguard is introduced.",scrapy,921fc4f3bf00c82c4dc8673206e06fe8e1f5927f,387,405,27,1,1
scrapy#defcb45120b4a9bfd34c9858b09ccc5d7cecad62,v2_rubric_json,0,no,0,0.78,"Visible changes add new spider parsing paths and XML feed support, but no clear shortcut, duplication, weakened safeguard, or explicit temporary workaround is shown.",scrapy,defcb45120b4a9bfd34c9858b09ccc5d7cecad62,63,16,2,0,0
requests#99fa7becf263473c7bfc1998b41c2c6c80a0f499,v2_rubric_json,0,no,0,0.78,"Visible changes are feature/refactor-heavy; no clear introduced shortcut, duplication, dead code, or removed safeguard is directly evidenced in the diff.",requests,99fa7becf263473c7bfc1998b41c2c6c80a0f499,688,223,20,0,0
requests#f69d8c16ed47fa87b2cd0e7b8ad4ecf4871cb5c1,v2_rubric_json,0,no,0,0.78,"Visible changes add features and cleanup; no clear duplication, dead code, weakened safeguards, or explicit temporary workaround introduced.",requests,f69d8c16ed47fa87b2cd0e7b8ad4ecf4871cb5c1,259,56,13,0,0
requests#ca35c847a203b264edb57a2d6d3a2700ac69dcde,v2_rubric_json,0,no,0,0.78,"New helper server code is added, but no explicit shortcuts, removed safeguards, duplication, or dead code are directly visible in the diff.",requests,ca35c847a203b264edb57a2d6d3a2700ac69dcde,107,0,2,0,0
requests#d06dabab59b1b9f07289d8a8cd533a3adedbfaba,v2_rubric_json,0,no,0,0.78,"Visible changes add proxy support and a small safeguard in response decoding; no clear duplication, dead code, or explicit temporary workaround is introduced.",requests,d06dabab59b1b9f07289d8a8cd533a3adedbfaba,134,33,3,0,0
requests#d7908a9fdef7bca16e384ca42478d69d1894c8b6,v2_rubric_json,0,no,0,0.78,"Visible changes add fingerprint/SNI support and pool keyword filtering; no clear duplication, dead code, weakened safeguards, or explicit temporary workaround.",requests,d7908a9fdef7bca16e384ca42478d69d1894c8b6,247,15,4,1,0
scrapy#bc64ca3e1372e40b8b89bbacac23a18661cdcf15,v2_rubric_json,0,no,0,0.78,"Visible changes add proxy middleware and tests; no explicit shortcuts, duplication, weakened safeguards, or temporary workaround are directly shown.",scrapy,bc64ca3e1372e40b8b89bbacac23a18661cdcf15,181,0,5,0,0
keras#b0c4db281dfb798f8bfd8ea1320e78125f2a7709,v2_rubric_json,0,no,0,0.78,"Large feature refactor adds TF-IDF and lookup changes, but no clearly visible shortcut, duplication, or removed safeguard in the diff.",keras,b0c4db281dfb798f8bfd8ea1320e78125f2a7709,832,261,14,1,0
scrapy#43ea21e8306bc66e8f07abc84cce680726abc7dc,v2_rubric_json,0,no,0,0.78,"Visible changes add a new postprocessing feature and tests; no clear shortcut, duplication, or removed safeguard is directly shown.",scrapy,43ea21e8306bc66e8f07abc84cce680726abc7dc,654,0,3,0,0
scrapy#6ecc9e0a34be6317d1b35a3ca1fc13cb98129732,v2_rubric_json,0,no,0,0.78,"Mostly type annotations and explicit assertions; no clear new duplication, weakened safeguards, or temporary workaround visible in the diff.",scrapy,6ecc9e0a34be6317d1b35a3ca1fc13cb98129732,355,185,18,0,0
keras#7d818d66a243aaf5d4e0f58e257087b0957a1086,v2_rubric_json,0,no,0,0.78,"Visible changes are feature/documentation updates and refactoring; no clear duplication, weakened safeguard, or explicit temporary workaround is introduced.",keras,7d818d66a243aaf5d4e0f58e257087b0957a1086,150,52,14,0,0
keras#36916af601ebd387f6ebee007b6f8c99a7605a37,v2_rubric_json,0,no,0,0.78,"Visible changes add features and tests; no clear duplication, weakened safeguards, magic numbers, or temporary workaround introduced in the diff.",keras,36916af601ebd387f6ebee007b6f8c99a7605a37,528,60,21,0,0
keras#87b2b00c976d26451f149d7365ee194912930cde,v2_rubric_json,0,no,0,0.78,"Large refactor adds metric handling and batch reset options, but no directly visible shortcut, duplication, or removed safeguard in the diff.",keras,87b2b00c976d26451f149d7365ee194912930cde,263,118,3,0,0
keras#2802c0820218e29d09382cbaf2235825a3ae703b,v2_rubric_json,0,no,0,0.78,"Visible changes add GRU reset_after support and tests; no clear duplication, shortcut, weakened safeguard, or explicit temporary workaround is introduced.",keras,2802c0820218e29d09382cbaf2235825a3ae703b,354,73,4,0,0
keras#d687c6eda4d9cb58756822fd77402274db309da8,v2_rubric_json,0,no,0,0.78,"Visible changes add step-based training support and tests; no clear duplication, dead code, removed safeguards, or explicit temporary workaround introduced.",keras,d687c6eda4d9cb58756822fd77402274db309da8,322,31,5,0,0
keras#365f621b24631a03f995e3b30e1800d327e42fc1,v2_rubric_json,0,no,0,0.78,"Visible changes are refactoring/API adjustments and test additions; no clear shortcut, duplication, or weakened safeguard is directly introduced.",keras,365f621b24631a03f995e3b30e1800d327e42fc1,113,64,3,0,0
keras#d046cea1a1d32372cdf27a1c947969c9d09bbde8,v2_rubric_json,0,no,0,0.78,"Visible changes add support for placeholder inputs and partial losses; no clear duplication, magic numbers, weakened safeguards, or temporary workaround introduced.",keras,d046cea1a1d32372cdf27a1c947969c9d09bbde8,348,86,5,0,0
scrapy#d311779887d5c8a34c8062eadd3155cb0ef4dc72,v2_rubric_json,0,no,0,0.78,"Visible changes add lazy initialization and adjust tests/defaults, but no clear duplication, dead code, weakened safeguards, or explicit temporary workaround is directly introduced.",scrapy,d311779887d5c8a34c8062eadd3155cb0ef4dc72,68,51,3,0,0
keras#99f564e9724d3456fc5b48b9dcd6254c83611242,v2_rubric_json,0,no,0,0.78,"Mostly refactoring and API additions; no clear new shortcut, duplication, dead code, or removed safeguard is directly visible.",keras,99f564e9724d3456fc5b48b9dcd6254c83611242,167,76,13,0,0
keras#ac773ed243154c5408937122bb67f5ec754b29d5,v2_rubric_json,0,no,0,0.78,"Visible changes add masking support and API plumbing; only TODO notes existing inference issue, not a new shortcut or clear debt.",keras,ac773ed243154c5408937122bb67f5ec754b29d5,126,75,7,1,0
keras#e32436144be933486182db6baee76c8746810488,v2_rubric_json,0,no,0,0.78,"Visible diff is mostly new test coverage; no clear shortcuts, dead code, weakened safeguards, or explicit temporary workarounds introduced.",keras,e32436144be933486182db6baee76c8746810488,2368,0,17,0,0
keras#c81d6ec93f6350eabec347acc4420456dc07312b,v2_rubric_json,0,no,0,0.78,"Visible changes add update handling and refactor BatchNormalization state management; no clear shortcut, duplication, or weakened safeguard is directly shown.",keras,c81d6ec93f6350eabec347acc4420456dc07312b,75,72,7,0,0
keras#981d23a66e3921ff5a3819b9d512f47b6b4f79f0,v2_rubric_json,0,no,0,0.78,"Visible changes add masking support and a test update; no clear duplication, weakened safeguards, magic numbers, or temporary workaround introduced.",keras,981d23a66e3921ff5a3819b9d512f47b6b4f79f0,35,16,2,0,0
keras#fecedb02cf17cc7b96f01a145d1b69c064f8141e,v2_rubric_json,0,no,0,0.78,"Visible changes add a new feature path for activity regularization and propagate cost updates; no clear shortcut, duplication, or removed safeguard is directly shown.",keras,fecedb02cf17cc7b96f01a145d1b69c064f8141e,22,1,4,0,0
scrapy#3aa5e757871c6288f0a1e7031ad74b48d6321f5c,v2_rubric_json,0,no,0,0.78,"Visible changes add async crawler support and tests; no clear duplication, shortcut, removed safeguard, or explicit temporary workaround is directly shown.",scrapy,3aa5e757871c6288f0a1e7031ad74b48d6321f5c,294,34,16,0,0
scrapy#05b3b205ce296c72063e05d15f5cae8047476ca2,v2_rubric_json,0,no,0,0.78,"Visible changes add async APIs and refactor process classes; no clear duplication, magic numbers, weakened safeguards, or temporary workaround introduced.",scrapy,05b3b205ce296c72063e05d15f5cae8047476ca2,1130,211,33,0,0
keras#3ecf201aeaf97c90fd8ba02a61c4a766b4b0cfb9,v2_rubric_json,0,no,0,0.78,"Visible changes add 3D layers and tests; no explicit shortcuts, duplication, weakened safeguards, or temporary workarounds are directly shown.",keras,3ecf201aeaf97c90fd8ba02a61c4a766b4b0cfb9,809,6,3,1,0
keras#35146d00b44ca645fbf4ad0b007faa07632c6f9e,v2_rubric_json,0,no,0,0.78,"Visible changes add functionality and refactor adapt handling; no clear shortcut, duplication, or weakened safeguard is directly introduced in the diff.",keras,35146d00b44ca645fbf4ad0b007faa07632c6f9e,444,220,10,1,0
