commit_uid,commit_url,label_human_a,label_human_b,label_llm,label_gt,humans_agree,rationale_human_a,rationale_human_b,rationale_llm
flask#f01b654ac4c0a4789369440557267b75df55fd59,https://github.com/pallets/flask/commit/f01b654ac4c0a4789369440557267b75df55fd59,0,0,0,0,1,Simple one-line change,no indication,"Single test assertion change only; no added complexity, duplication, coupling, or removed safeguards visible."
keras#027f0776814de831341f9bcff3e9212e57713346,https://github.com/keras-team/keras/commit/027f0776814de831341f9bcff3e9212e57713346,0,1,0,,0,Targeted bug fix,"TODO in comment, SATD","Single-method refactor replaces prior serialization hook; no clear added complexity, duplication, weakened safeguard, or explicit temporary workaround introduced."
keras#04cbccc8038c105374eef6eb2ce96d6746999860,https://github.com/keras-team/keras/commit/04cbccc8038c105374eef6eb2ce96d6746999860,0,0,0,0,1,Simple one-line change,no indication,"Single-line API substitution only; no visible complexity, duplication, weakened safeguards, or temporary workaround."
keras#05812f0e2d1fe8f190a2ad1e843e975c660354ae,https://github.com/keras-team/keras/commit/05812f0e2d1fe8f190a2ad1e843e975c660354ae,0,0,0,0,1,"Clean addition, removed obsolete code",no indication,"Visible changes add a new BatchNormalization layer and remove optimizer files; no clear shortcut, duplication, or safeguard weakening is directly shown."
keras#07baa958f5d04a7b027658488b580b332e230bb4,https://github.com/keras-team/keras/commit/07baa958f5d04a7b027658488b580b332e230bb4,0,0,1,0,1,"Added well-documented, clean code",no indication,Introduces two new optimizer implementations with substantial duplicated structure and multiple TODO/pass stubs leaving clipping tests unimplemented.
keras#0b393d4049afd187ed7d24ea70177a72cf4a3ce2,https://github.com/keras-team/keras/commit/0b393d4049afd187ed7d24ea70177a72cf4a3ce2,1,1,1,1,1,"Incomplete case handling (unbound weights_format), re-raising of exceptions",We should decide ... in comment. SATD,"Introduces duplicated storage abstractions and added branching for h5/npz plus zip/non-zip paths, increasing local complexity and coupling."
keras#0d37837d448a3b9202d5c4c9928ef40940578719,https://github.com/keras-team/keras/commit/0d37837d448a3b9202d5c4c9928ef40940578719,1,1,1,1,1,Brittle path handling,"TODO in comment, SATD","Introduces ad hoc remote-path handling with regex and temporary local copy logic, plus a new direct dependency on tf.io.gfile in saving/loading paths."
keras#13cb10daf9ca6d4b9ebffc522c945a3502ea1c42,https://github.com/keras-team/keras/commit/13cb10daf9ca6d4b9ebffc522c945a3502ea1c42,0,0,0,0,1,"Clean change, no shortcuts",no indication,"Refactor adds a build-directory workflow and parameterization, but no clear duplication, weakened safeguards, or explicit temporary workaround is introduced."
keras#14cf11eb0474898c5451b8ea9770dd0d36f4e5d1,https://github.com/keras-team/keras/commit/14cf11eb0474898c5451b8ea9770dd0d36f4e5d1,0,0,0,0,1,Single-line text-reformatting,no indication,"Single formatting/string-change only; no added complexity, duplication, coupling, or removed safeguards visible."
keras#1587fb9c43558b86fc34bbe441831be195488f72,https://github.com/keras-team/keras/commit/1587fb9c43558b86fc34bbe441831be195488f72,0,0,0,0,1,Simple config changes,no indication,"Mechanical API-argument rename in two files; no visible complexity increase, duplication, weakened safeguards, or other technical debt."
keras#18a812e1dfa793f541e9bcf9705c62a77546c7ee,https://github.com/keras-team/keras/commit/18a812e1dfa793f541e9bcf9705c62a77546c7ee,0,0,0,0,1,Changed only comment text,no indication,"Only comment wording changed; no visible new shortcut, complexity, duplication, or safeguard removal in the Python diff."
keras#1b5a05fceef4fd2e3b87352f00c4a9b2effd46f9,https://github.com/keras-team/keras/commit/1b5a05fceef4fd2e3b87352f00c4a9b2effd46f9,1,1,1,1,1,Code clone without proper/clean refactor,Clear SATD written in comment,"Introduces a large copied LossScaleOptimizerV3 class, duplicating existing logic across files and adding new coupling plus extra branching in tests."
keras#2082bafd183eb6fea4778701f4c2c047970014f4,https://github.com/keras-team/keras/commit/2082bafd183eb6fea4778701f4c2c047970014f4,0,0,0,0,1,Simple one-line changes,no indication,"Visible change fixes a likely bug and exposes an existing parameter; no clear duplication, complexity increase, or removed safeguard in the diff."
keras#2481069ed4e43ce19c60e66fb5276450031aef56,https://github.com/keras-team/keras/commit/2481069ed4e43ce19c60e66fb5276450031aef56,1,0,1,,0,"Hidden dependencies circumventing the abstractions (NumPy backend depends on JAX), empty stubs",no indication,"Introduces a temporary workaround comment for NumPy backend import redirection and a pass-based stop_gradient stub, both visible shortcuts."
keras#292b0d50e6fac01067998b8783d632c23ab33c7a,https://github.com/keras-team/keras/commit/292b0d50e6fac01067998b8783d632c23ab33c7a,1,1,1,1,1,Empty stubs,"TODO in comment, SATD","Introduces duplicated class-weight handling in two adapters and adds a TODO-marked broadcast workaround, increasing local complexity and coupling."
keras#35b2aa910391b253f062e9bef766fd7be3304668,https://github.com/keras-team/keras/commit/35b2aa910391b253f062e9bef766fd7be3304668,0,1,0,,0,"Clean commit, the SATD keyword (TODO) describes a future design consideration","TODO in comment, SATD","Adds output_shape support and corresponding tests; no visible duplication, weakening, magic numbers, or temporary workaround introduced."
keras#3b853b939953040e8841911efa05407e7e1fa91f,https://github.com/keras-team/keras/commit/3b853b939953040e8841911efa05407e7e1fa91f,0,0,0,0,1,"Moved code, enhanced structure",no indication,"Refactor moves attribute tracking to base Layer and simplifies Network.__setattr__; no clear new shortcut, duplication, or weakened safeguard is visible."
keras#3db16c668cbe2200d1764ede7420857c8bb7669d,https://github.com/keras-team/keras/commit/3db16c668cbe2200d1764ede7420857c8bb7669d,1,1,1,1,1,"Stubbed methods, duplicate code",NOTE indicates future other cases need to be solved,"Introduces deferred variable initialization, adds thread-local tracking and stateless-scope cleanup, plus a new test stub with pass and explicit optimizer limitation comment."
keras#3ecf201aeaf97c90fd8ba02a61c4a766b4b0cfb9,https://github.com/keras-team/keras/commit/3ecf201aeaf97c90fd8ba02a61c4a766b4b0cfb9,1,0,0,,0,Code duplication,no indication,"Large feature addition, but visible diff shows no explicit shortcuts, duplication beyond straightforward patterns, or removed safeguards."
keras#3feca20c59a233ddd75a7d333f0bed22942423f3,https://github.com/keras-team/keras/commit/3feca20c59a233ddd75a7d333f0bed22942423f3,0,0,0,0,1,"Removed obsolete / deprecated code, removed unused imports",no indication,"Visible changes add generator arguments and remove deprecated-argument handling, but no clear shortcut, duplication, or safeguard removal is introduced."
keras#403d5778756efd12c1cf8a0904ffa910809df66f,https://github.com/keras-team/keras/commit/403d5778756efd12c1cf8a0904ffa910809df66f,0,1,0,,0,"Small refactor, removed obsolete code","Quick fix, SATD","Refactor removes shared-process state and simplifies worker indexing; no clear new shortcut, duplication, or safeguard removal is visible."
keras#42d682de1780005e9dfd0e40d427b84888153c74,https://github.com/keras-team/keras/commit/42d682de1780005e9dfd0e40d427b84888153c74,0,0,0,0,1,Single-line change,no indication,"Single API replacement reduces protected-access coupling; no visible complexity, duplication, or weakened safeguards introduced."
keras#4a978914d2298db2c79baa4012af5ceff4a4e203,https://github.com/keras-team/keras/commit/4a978914d2298db2c79baa4012af5ceff4a4e203,0,0,1,0,1,"Clean refactoring, old code and TD removed",no indication,"Introduces duplicated test/layer utility code across files and adds a TODO workaround comment plus multiple new validation branches, increasing maintenance burden."
keras#4adac05131e14980d56bc6b3ac4a8e6375cfdb52,https://github.com/keras-team/keras/commit/4adac05131e14980d56bc6b3ac4a8e6375cfdb52,0,0,0,0,1,Smaller changes,no indication,"Feature expansion and tests only; no clear duplication, weakened safeguards, or explicit temporary workaround introduced in the diff."
keras#4dcd829fb517ba6949e0059779083a16e61ad8b6,https://github.com/keras-team/keras/commit/4dcd829fb517ba6949e0059779083a16e61ad8b6,0,0,0,0,1,"Added well-documented, well-structured functions",no indication,"New export utility and tests add functionality; no explicit duplication, weakened safeguards, or temporary workaround introduced in visible diff."
keras#588ce7a7e24e5245f43c927ed96e1881ae3ed3ad,https://github.com/keras-team/keras/commit/588ce7a7e24e5245f43c927ed96e1881ae3ed3ad,0,0,0,0,1,Only examples,no indication,"New standalone example file adds functionality without visible shortcuts, duplication, weakened safeguards, or local complexity issues in the diff."
keras#688d303bb7e44bdba7664b21555aa473de1c0a89,https://github.com/keras-team/keras/commit/688d303bb7e44bdba7664b21555aa473de1c0a89,0,1,1,,0,"Added actual implementations to certain functions, removed commented-out code",TODO in comments. SADT,"Introduces many explicit NotImplementedError/TODO workarounds and skips torch cases, plus a new hard-coded dtype map and several API-divergent shortcuts."
keras#695a928224bb8d5efc6483fce1c40dae65dc7bbd,https://github.com/keras-team/keras/commit/695a928224bb8d5efc6483fce1c40dae65dc7bbd,0,0,0,0,1,"Simple, low-complexity change",no indication,"Adds masking support and a test; no clear shortcut, duplication, weakened safeguard, or other technical debt directly visible."
keras#6cf28ba09bd3fe60a7cfd5981231138ca3be2135,https://github.com/keras-team/keras/commit/6cf28ba09bd3fe60a7cfd5981231138ca3be2135,1,0,0,,0,Giant block of commented-out / dead code,no indication,"New wrapper class adds functionality, but no clear shortcut, duplication, weakened safeguard, or explicit temporary workaround is visible in the diff."
keras#707c2448e2af285d41909953e7f20dd667c9a221,https://github.com/keras-team/keras/commit/707c2448e2af285d41909953e7f20dd667c9a221,1,0,0,,0,Brittle coupling between module internals and API,"no issues, the complexity is on purpose","Refactor replaces a hardcoded autogenerated block with generated imports; no clear new shortcut, duplication, or safeguard removal is directly visible."
keras#70d7d07bd186b929d81f7a8ceafff5d78d8bd701,https://github.com/keras-team/keras/commit/70d7d07bd186b929d81f7a8ceafff5d78d8bd701,0,1,1,,0,"Clean implementation, even reducing cognitive load / unnecessary complexity in some places","many TODOs, mixture of several change motivations","Introduces new TODO-admitted workaround and direct internal API replacements across many files, increasing coupling and maintenance burden."
keras#75d9415c82b3bbba82095b11ac6c313b40de6066,https://github.com/keras-team/keras/commit/75d9415c82b3bbba82095b11ac6c313b40de6066,1,0,1,,0,Missing error and edge case handling,no indication,"Large new cntk backend adds substantial duplicated logic across files, plus many backend-specific test branches and skipped safeguards, increasing maintenance burden."
keras#76c5b616f2cac0d4d1852049d98ab8a067142373,https://github.com/keras-team/keras/commit/76c5b616f2cac0d4d1852049d98ab8a067142373,1,0,1,,0,"Increased complexity due to nesting and duplicated / nested checks, mapping would be cleaner",no indication,"Adds repeated near-identical branching for accuracy/crossentropy handling and duplicated suffix selection, increasing local complexity within one function."
keras#791de01d4e661f977f6de272421ce01e2daa183b,https://github.com/keras-team/keras/commit/791de01d4e661f977f6de272421ce01e2daa183b,0,1,0,,0,Clean feature addition,"TODO in comment, SATD","Visible additions are mostly wrapper utilities and tests; no clear duplication, weakened safeguards, or local complexity increase in modified Python diff."
keras#81db804d3147a846b056db73fd02bc78cad8cde6,https://github.com/keras-team/keras/commit/81db804d3147a846b056db73fd02bc78cad8cde6,0,0,1,0,1,Clean change,no indication,Adds a new test with an explicit TODO skip workaround and changes validation error text; the workaround introduces temporary debt.
keras#879a6c244c767cdfb8b2c23ae605869946868291,https://github.com/keras-team/keras/commit/879a6c244c767cdfb8b2c23ae605869946868291,0,1,1,,0,"Moved code, removed obsolete code","TODO in comment, SATD","Introduces explicit TODO-not-implemented stubs, debug prints, and weakened/removed safeguards in several backend functions and serialization paths."
keras#8feac19b8570fd15724c5f3138f08862176f0d89,https://github.com/keras-team/keras/commit/8feac19b8570fd15724c5f3138f08862176f0d89,0,1,0,,0,Clean implementation,Local complexity increase,"Adds metric update plumbing and TensorFlow-only guard, but no clear duplication, weakening, or other direct technical debt evidence is visible."
keras#93c1151c0b0c70782d63ba214d8e5715546ddb24,https://github.com/keras-team/keras/commit/93c1151c0b0c70782d63ba214d8e5715546ddb24,0,0,0,0,1,"Clean refactoring, e.g. removing prior TD by properly handling imports",no indication,"Adds lazy tfio import and a new test file; no clear duplication, weakened safeguards, magic numbers, or other visible technical debt in the diff."
keras#967304a60c246604f1b8fdff6448419c292099e4,https://github.com/keras-team/keras/commit/967304a60c246604f1b8fdff6448419c292099e4,0,0,0,0,1,Increased code structure via layering,no indication,"Mostly framework/API migration and refactoring; no clear new shortcut, duplication, weakened safeguard, or concrete debt visible in the diff."
keras#975713c645b5907d3952864f89c85e8711376e0c,https://github.com/keras-team/keras/commit/975713c645b5907d3952864f89c85e8711376e0c,1,1,1,1,1,Weakened tests (re: parameter propagation),"SATD in comment ""needs further discussion""","Introduces explicit TODO noting unresolved torch parameter propagation; tests also encode known incorrect behavior, indicating admitted temporary workaround."
keras#a127de7007fe49413bd9167e179f5df12b6c100e,https://github.com/keras-team/keras/commit/a127de7007fe49413bd9167e179f5df12b6c100e,1,0,1,,0,"Deferred tests, dead code",no indication,Introduces a new helper with duplicated validation logic and added complexity; also adds a TODO comment indicating incomplete integration.
keras#a1c9d0823cd284213c884be0964cd47c47d5e666,https://github.com/keras-team/keras/commit/a1c9d0823cd284213c884be0964cd47c47d5e666,0,0,0,0,1,"Simple, low-complexity addition of two small functions",no indication,"Adds two initializer functions; no visible shortcut, duplication beyond simple formulas, or weakened safeguards in the diff."
keras#a449efe29b092e658a29cd847e0494979a47d252,https://github.com/keras-team/keras/commit/a449efe29b092e658a29cd847e0494979a47d252,0,0,1,0,1,Low-complexity and well-documented integration of doctest,no indication,New doctest checker adds substantial logic and a new test module; also introduces a direct cross-module dependency in all_utils.
keras#b6b19cc28c1184f71efc4b630a8749a6aabcfabd,https://github.com/keras-team/keras/commit/b6b19cc28c1184f71efc4b630a8749a6aabcfabd,1,0,1,,0,Code duplicates,no indication,"New 1230-line module adds duplicated block definitions, repeated model wrappers, and hard-coded weight URLs/hashes, increasing maintenance burden."
keras#bb6dc0fbf4e02a34133f8d7e6f0517e70c9f63c5,https://github.com/keras-team/keras/commit/bb6dc0fbf4e02a34133f8d7e6f0517e70c9f63c5,0,0,1,0,1,Increased modularity and code robustness,no indication,"Adds new generator/PyDataset branches, duplicated class-weight handling, and a new helper with repeated logic across files, increasing local coupling and complexity."
keras#bd17007c12780d3eea06643ea1e7805c811e9f19,https://github.com/keras-team/keras/commit/bd17007c12780d3eea06643ea1e7805c811e9f19,0,0,0,0,1,Simple text change,no indication,"Docstring formatting only; no code logic, complexity, duplication, or safeguard changes visible."
keras#c333b2baa938ebce4a4944056f3f3e527b980086,https://github.com/keras-team/keras/commit/c333b2baa938ebce4a4944056f3f3e527b980086,0,0,0,0,1,Simple one-line changes,no indication,"Visible changes are repetitive export annotations/imports across files; no clear shortcut, weakened safeguard, or added complexity is directly shown."
keras#d85036c431ca124bb3161be4a9123b83a5744c21,https://github.com/keras-team/keras/commit/d85036c431ca124bb3161be4a9123b83a5744c21,0,0,0,0,1,Minimal change,no indication,"Visible changes add an export/import and simplify summary behavior; no clear duplication, unsafe removal, or other technical debt is directly shown."
keras#e253911d18325815f9d284d51a00eccc0b641ef5,https://github.com/keras-team/keras/commit/e253911d18325815f9d284d51a00eccc0b641ef5,0,0,0,0,1,"Clean and well-documented implementation, low complexities",no indication,"Adds new loss classes/functions and tests; no visible duplication, weakened safeguards, magic numbers, or other clear technical debt in the diff."
keras#e27b2b333808fcde9b553d0748af80c3111c8f6b,https://github.com/keras-team/keras/commit/e27b2b333808fcde9b553d0748af80c3111c8f6b,0,1,0,,0,Only test cases,Added new TODO,"Visible changes are import/path rewrites and test decorator updates; no clear added complexity, duplication, weakened safeguards, or temporary workaround."
keras#fc52d9a084699a549ec1aadc7aed839bde75ef7c,https://github.com/keras-team/keras/commit/fc52d9a084699a549ec1aadc7aed839bde75ef7c,0,0,0,0,1,Simple change,no indication,"Mostly type-check modernization and test updates; no clear added complexity, duplication, weakened safeguards, or temporary workaround visible."
keras#ff0db1c03fa1308603896a72da8f7b22f2a2d7ac,https://github.com/keras-team/keras/commit/ff0db1c03fa1308603896a72da8f7b22f2a2d7ac,1,1,1,1,1,"Stubbed/pseudo methods, commented-out code","TODO in comment, SATD",Introduces explicit dead/commented-out code and a stray debug print; also replaces validation helper with ad hoc tuple handling across multiple layers.
requests#245c6edec34efd3216da2bd685a73fe411399b82,https://github.com/psf/requests/commit/245c6edec34efd3216da2bd685a73fe411399b82,0,1,0,,0,No code change,"TODO in comment, SATD",Only a TODO comment was added; it acknowledges future work but does not introduce new shortcut code or removed safeguards.
requests#366e8e849877aea44ce96abebd4f26f5bcce12fb,https://github.com/psf/requests/commit/366e8e849877aea44ce96abebd4f26f5bcce12fb,1,1,1,1,1,Stubbed methods and commented-out code,"TODO in comment, SATD","Introduces large new RequestMixin/PreparedRequest classes with many stubbed methods, commented-out code, and duplicated/disabled logic, increasing local complexity and dead code."
requests#3a6d9b09dbb6cf7c279fd5f6ef9a51ebeeb905de,https://github.com/psf/requests/commit/3a6d9b09dbb6cf7c279fd5f6ef9a51ebeeb905de,0,1,1,,0,"Minimal change, one TODO comment added but regarding already existing code","TODO in comment, SATD","Introduces a TODO-marked workaround and hard-coded port change, both explicit shortcuts in the diff."
requests#402f3b4993fe8d0626fcffcbfc30caf671b65df3,https://github.com/psf/requests/commit/402f3b4993fe8d0626fcffcbfc30caf671b65df3,0,0,0,0,1,Reduces complexity by removing redundant check,no indication,"Small conditional refinement only; no added complexity, duplication, weakened safeguards, or temporary workaround visible."
requests#5cfbb0aaf50e451179ede8bcd43ca55fbdfebad5,https://github.com/psf/requests/commit/5cfbb0aaf50e451179ede8bcd43ca55fbdfebad5,1,1,0,1,1,Magic numbers (fp.readline(80)) and avoidable complexity,unclear comment: #XXX correct line size,"Adds chunked-response handling and a small guard for empty lines; no clear duplication, weakened safeguard, or explicit temporary workaround is introduced."
requests#7125fe5554332b636ce42dcbe8224d0918381917,https://github.com/psf/requests/commit/7125fe5554332b636ce42dcbe8224d0918381917,1,1,1,1,1,Temporary workaround,SATD with poor man,"Introduces a bare except that silently returns the original URI, explicitly described as a poor man's patch, weakening error handling."
requests#802bcc9ba3f21f65d5eab48588b930222845ce23,https://github.com/psf/requests/commit/802bcc9ba3f21f65d5eab48588b930222845ce23,1,1,0,1,1,Commented-out code / imports,commented codes committed,"Visible changes are mostly refactoring/renaming and API wiring; no clear new shortcut, duplication, or removed safeguard is directly shown."
requests#8fbb1e6d97cda90d588d4263a18906a52d147fba,https://github.com/psf/requests/commit/8fbb1e6d97cda90d588d4263a18906a52d147fba,0,0,1,0,1,"Clean addition of functions, concerns are separated",Self-contained feature additions with no visible shortcuts,"Introduces a new function with multiple responsibilities and nested fallback logic, plus a stray debug print and hard-coded fallback behavior."
requests#9576518d69b819b25cd036397d2624daa6ae088c,https://github.com/psf/requests/commit/9576518d69b819b25cd036397d2624daa6ae088c,0,1,1,,0,"Library added, no new TD authored","TODO in comment, SATD",Large new oauthlib codebase adds substantial duplicated OAuth logic across modules and multiple TODO/FIXME comments indicating incomplete implementation.
requests#d181577f3e34ac4bda2458f7b28405a5ed034d87,https://github.com/psf/requests/commit/d181577f3e34ac4bda2458f7b28405a5ed034d87,1,1,1,1,1,Magic number 0x20000 instead of constant,"TODO in comment, SATD",Introduces duplicated proxy TCP_NODELAY logic in two connection pool methods and adds hard-coded magic value OP_NO_COMPRESSION.
requests#e8d02ea0bbc05042e618a7ca115f4fca7b2deeb9,https://github.com/psf/requests/commit/e8d02ea0bbc05042e618a7ca115f4fca7b2deeb9,0,0,0,0,1,Clean change,no indication,"Adds a type check and a corresponding test; no visible duplication, complexity increase, weakened safeguards, or temporary workaround."
requests#f2629e9e3c7ce3c3c8c025bcd8db551101cbc773,https://github.com/psf/requests/commit/f2629e9e3c7ce3c3c8c025bcd8db551101cbc773,0,1,0,,0,One-line config change,unclear change purpose Removed or weakened safeguards,"Single-line removal of a parameter; no visible complexity, duplication, coupling, or explicit weakened safeguard in the diff."
requests#f40bd0f7074ccda6be66c77f39442770d7669af0,https://github.com/psf/requests/commit/f40bd0f7074ccda6be66c77f39442770d7669af0,0,0,0,0,1,Only docstrings changed,no indication,"Documentation-only reference link updates across three files; no visible complexity, duplication, safeguard removal, or temporary workaround."
scrapy#00cd4f0fa598fb1aa55084e3326ee302bbd88b38,https://github.com/scrapy/scrapy/commit/00cd4f0fa598fb1aa55084e3326ee302bbd88b38,0,1,0,,0,Only added warnings / error handling,Deprecated code as warning for future replacement,"Adds deprecation warnings and wraps existing initialization; no clear complexity increase, duplication, weakened safeguards, or temporary workaround introduced."
scrapy#03751749a80526f3d97f60f0f63892501ef5de19,https://github.com/scrapy/scrapy/commit/03751749a80526f3d97f60f0f63892501ef5de19,1,1,1,1,1,"Hidden control flow, coupling to unrelated middleware, missing safeguards, stubbed method","TODO in comment, SATD","Introduces TODO-marked workaround in media pipeline, removes scheduler middleware abstraction, and leaves Scheduler.clear_pending_requests as pass."
scrapy#1fc2bc34898f24480b0f5f6a315b523211d768e8,https://github.com/scrapy/scrapy/commit/1fc2bc34898f24480b0f5f6a315b523211d768e8,0,0,0,0,1,Simple one-line changes,no issue,"Refactor replaces a dict with a single slot attribute; no visible complexity increase, duplication, weakened safeguards, or temporary workaround."
scrapy#27689009f177b9207b55a3443e2ab459243341df,https://github.com/scrapy/scrapy/commit/27689009f177b9207b55a3443e2ab459243341df,0,1,0,,0,"Simple bug / edge case fix, no td introduced",smelling code with import within function,"Small conditional import refactor with no visible duplication, complexity increase, or removed safeguards in the diff."
scrapy#314bbabb30dc70298e59c2979ec0a9311ece5baa,https://github.com/scrapy/scrapy/commit/314bbabb30dc70298e59c2979ec0a9311ece5baa,0,0,0,0,1,Minimal change,no indication,"Removes request.domain handling and simplifies spider lookup; no visible shortcut, duplication, or safeguard removal introduced."
scrapy#3954e600ca39fd8b02e881758b1bbc0029279d1e,https://github.com/scrapy/scrapy/commit/3954e600ca39fd8b02e881758b1bbc0029279d1e,0,0,0,0,1,"Added one file with clean, low-complexity functions",no indication,"New cache storage feature; no visible duplication, weakened safeguards, dead code, or explicit temporary workaround in the diff."
scrapy#3e8bcafd8b64bb6867eda05804a58144a2623ada,https://github.com/scrapy/scrapy/commit/3e8bcafd8b64bb6867eda05804a58144a2623ada,1,0,0,,0,Confusing nesting,no indication,"Adds a utility copytree/ignore_patterns and uses them to replace shutil.copytree; no clear shortcut, duplication, or weakened safeguard is directly visible."
scrapy#643ea99f367beb5d4c86fb5495e59d9a665f741d,https://github.com/scrapy/scrapy/commit/643ea99f367beb5d4c86fb5495e59d9a665f741d,0,0,0,0,1,Clean and simple change,no indication,"No clear TD: mostly parameter renames and a small control-flow addition; no visible duplication, weakening, or hard-coded shortcut."
scrapy#818d69fa003a14a2f2058e76258e6269d227efb4,https://github.com/scrapy/scrapy/commit/818d69fa003a14a2f2058e76258e6269d227efb4,0,0,0,0,1,one-line typo fix in a comment,no indication,"Single comment typo fix only; no added complexity, duplication, coupling, or weakened safeguards visible."
scrapy#8480f49cf627f745f4d3f31fb068878ed2f1d8d5,https://github.com/scrapy/scrapy/commit/8480f49cf627f745f4d3f31fb068878ed2f1d8d5,0,0,1,0,1,"Refactoring, moving code, removed obsolete code, no introduction of TD",no indication,"Introduces a TODO-commented, commented-out test block and a likely broken format string in profiler; both are visible shortcuts/quality issues."
scrapy#921fc4f3bf00c82c4dc8673206e06fe8e1f5927f,https://github.com/scrapy/scrapy/commit/921fc4f3bf00c82c4dc8673206e06fe8e1f5927f,0,1,1,,0,"Refactoring, mainly renamings, removed obsolete code, no introduction of TD",comment explicity mentioning of pending changes in version 0.8,"Introduces substantial local complexity and coupling by renaming domain-based APIs to spider-based ones across many modules, plus adds new branching in argument parsing."
scrapy#9408c77a1e16df89feeab055d3530ebad66555e1,https://github.com/scrapy/scrapy/commit/9408c77a1e16df89feeab055d3530ebad66555e1,1,1,1,1,1,"Stubbed methods, missing safeguards","TODO in comment, SATD","Introduces multiple TODOs and placeholder pass handlers, plus incomplete request handling and connectionLost logic, indicating explicit unfinished implementation."
scrapy#963580463b96315eb58319e6d35b4cd52672371a,https://github.com/scrapy/scrapy/commit/963580463b96315eb58319e6d35b4cd52672371a,0,0,0,0,1,Test refactoring,no indication,"Mostly test refactoring and assertion updates; no clear new shortcut, duplication, or weakened safeguard is directly visible."
scrapy#97b98bf181874d22e4f7774a7950c10aaea6bd24,https://github.com/scrapy/scrapy/commit/97b98bf181874d22e4f7774a7950c10aaea6bd24,0,0,0,0,1,Simple one-line changes,no indication,"Refactor moves settings application to classmethod and adds a test; no visible shortcut, duplication, or safeguard removal in the diff."
scrapy#9ff9caecadf8215ce75b0ad4231b8289bca168fe,https://github.com/scrapy/scrapy/commit/9ff9caecadf8215ce75b0ad4231b8289bca168fe,0,1,1,,0,"low-complexity changes, removed obsolete code","TODO in comment, SATD","Introduces new coupling between protocol and stream via connection injection, plus added pending-request pool and multiple responsibilities in modified methods."
