commit_uid,repo_id,commit_hash,commit_url,label_satd,label_llm,rationale_llm,label_human,rationale_human,lines_added,lines_deleted,files_changed,hunks,reviewer,timestamp
scrapy#3954e600ca39fd8b02e881758b1bbc0029279d1e,scrapy,3954e600ca39fd8b02e881758b1bbc0029279d1e,https://github.com/scrapy/scrapy/commit/3954e600ca39fd8b02e881758b1bbc0029279d1e,0,no,The diff shows feature additions and documentation updates without introducing technical debt as per the defined criteria.,no,no indication,65,0,2,2,prof_it,2026-04-28T18:33:49.484Z
scrapy#27689009f177b9207b55a3443e2ab459243341df,scrapy,27689009f177b9207b55a3443e2ab459243341df,https://github.com/scrapy/scrapy/commit/27689009f177b9207b55a3443e2ab459243341df,1,yes,Explicit 'workaround' comments for specific Python versions indicate self-admitted technical debt.,yes,smelling code with import within function,6,2,1,5,prof_it,2026-04-28T18:33:49.484Z
flask#81576c236a4dde33aeed13c84abed0ad2e796c2f,flask,81576c236a4dde33aeed13c84abed0ad2e796c2f,https://github.com/pallets/flask/commit/81576c236a4dde33aeed13c84abed0ad2e796c2f,0,no,The diff shows refactoring and feature additions without introducing technical debt as per the defined criteria.,no,no indication,116,74,1,22,prof_it,2026-04-28T18:33:49.484Z
requests#5cfbb0aaf50e451179ede8bcd43ca55fbdfebad5,requests,5cfbb0aaf50e451179ede8bcd43ca55fbdfebad5,https://github.com/psf/requests/commit/5cfbb0aaf50e451179ede8bcd43ca55fbdfebad5,1,yes,Hard-coded value '80' in readline without explanation. Comment 'XXX correct line size' suggests suboptimal solution.,yes,unclear comment: #XXX correct line size,26,0,1,3,prof_it,2026-04-28T18:33:49.484Z
scrapy#643ea99f367beb5d4c86fb5495e59d9a665f741d,scrapy,643ea99f367beb5d4c86fb5495e59d9a665f741d,https://github.com/scrapy/scrapy/commit/643ea99f367beb5d4c86fb5495e59d9a665f741d,0,no,Changes are parameter renaming and adding a recursive call. No visible technical debt introduced.,no,no indication,4,2,1,3,prof_it,2026-04-28T18:33:49.484Z
scrapy#3e8bcafd8b64bb6867eda05804a58144a2623ada,scrapy,3e8bcafd8b64bb6867eda05804a58144a2623ada,https://github.com/scrapy/scrapy/commit/3e8bcafd8b64bb6867eda05804a58144a2623ada,1,no,"The changes improve code by replacing shutil with a custom function that supports ignoring patterns, reducing future maintenance.",no,no indication,63,3,2,6,prof_it,2026-04-28T18:33:49.484Z
keras#a449efe29b092e658a29cd847e0494979a47d252,keras,a449efe29b092e658a29cd847e0494979a47d252,https://github.com/keras-team/keras/commit/a449efe29b092e658a29cd847e0494979a47d252,1,no,The diff adds new functionality and tests without visible shortcuts or quality issues.,no,no indication,573,0,4,4,prof_it,2026-04-28T18:33:49.484Z
flask#c4139e0e5de5ffa8f103956bdcc1ca7cf9e500fd,flask,c4139e0e5de5ffa8f103956bdcc1ca7cf9e500fd,https://github.com/pallets/flask/commit/c4139e0e5de5ffa8f103956bdcc1ca7cf9e500fd,0,no,The changes add functionality without introducing visible technical debt as per the constraints.,no,no indication,28,1,2,4,prof_it,2026-04-28T18:33:49.484Z
keras#a1c9d0823cd284213c884be0964cd47c47d5e666,keras,a1c9d0823cd284213c884be0964cd47c47d5e666,https://github.com/keras-team/keras/commit/a1c9d0823cd284213c884be0964cd47c47d5e666,0,no,"The diff adds new functions without increasing complexity, duplication, or coupling, and maintains code quality.",no,no indication,15,0,1,1,prof_it,2026-04-28T18:33:49.484Z
keras#bb6dc0fbf4e02a34133f8d7e6f0517e70c9f63c5,keras,bb6dc0fbf4e02a34133f8d7e6f0517e70c9f63c5,https://github.com/keras-team/keras/commit/bb6dc0fbf4e02a34133f8d7e6f0517e70c9f63c5,1,no,The diff shows refactoring and new feature additions without visible shortcuts or quality issues.,no,no indication,232,22,7,19,prof_it,2026-04-28T18:33:49.484Z
keras#688d303bb7e44bdba7664b21555aa473de1c0a89,keras,688d303bb7e44bdba7664b21555aa473de1c0a89,https://github.com/keras-team/keras/commit/688d303bb7e44bdba7664b21555aa473de1c0a89,1,yes,"The diff introduces multiple instances of 'NotImplementedError' for unsupported arguments or features, indicating self-admitted technical debt.",yes,TODO in comments. SADT,531,326,3,152,prof_it,2026-04-28T18:33:49.484Z
scrapy#963580463b96315eb58319e6d35b4cd52672371a,scrapy,963580463b96315eb58319e6d35b4cd52672371a,https://github.com/scrapy/scrapy/commit/963580463b96315eb58319e6d35b4cd52672371a,0,no,The diff shows refactoring and addition of new test methods without introducing technical debt as per the constraints.,no,no indication,159,44,1,25,prof_it,2026-04-28T18:33:49.484Z
scrapy#a2bd70ba21af273b97ecb4f35ad6521940bf3cd6,scrapy,a2bd70ba21af273b97ecb4f35ad6521940bf3cd6,https://github.com/scrapy/scrapy/commit/a2bd70ba21af273b97ecb4f35ad6521940bf3cd6,0,no,"Refactoring moves code without adding complexity or duplication, improving modularity and maintainability.",no,no indication,63,52,2,7,prof_it,2026-04-28T18:33:49.484Z
keras#4dcd829fb517ba6949e0059779083a16e61ad8b6,keras,4dcd829fb517ba6949e0059779083a16e61ad8b6,https://github.com/keras-team/keras/commit/4dcd829fb517ba6949e0059779083a16e61ad8b6,1,no,The diff shows well-structured additions of new functionality with appropriate error handling and testing. No technical debt indicators are present.,no,no indication,749,1,3,3,prof_it,2026-04-28T18:33:49.484Z
keras#76c5b616f2cac0d4d1852049d98ab8a067142373,keras,76c5b616f2cac0d4d1852049d98ab8a067142373,https://github.com/keras-team/keras/commit/76c5b616f2cac0d4d1852049d98ab8a067142373,0,no,The diff shows refactoring to handle additional metrics without introducing technical debt.,no,no indication,19,6,1,8,prof_it,2026-04-28T18:33:49.484Z
requests#7125fe5554332b636ce42dcbe8224d0918381917,requests,7125fe5554332b636ce42dcbe8224d0918381917,https://github.com/psf/requests/commit/7125fe5554332b636ce42dcbe8224d0918381917,0,yes,Self-admitted technical debt with 'poor man's patch' comment for issue #630.,yes,SATD with poor man,7,0,1,2,prof_it,2026-04-28T18:33:49.484Z
keras#75d9415c82b3bbba82095b11ac6c313b40de6066,keras,75d9415c82b3bbba82095b11ac6c313b40de6066,https://github.com/keras-team/keras/commit/75d9415c82b3bbba82095b11ac6c313b40de6066,1,no,No visible technical debt in the diff.,no,no indication,3136,477,23,205,prof_it,2026-04-28T18:33:49.484Z
requests#f2629e9e3c7ce3c3c8c025bcd8db551101cbc773,requests,f2629e9e3c7ce3c3c8c025bcd8db551101cbc773,https://github.com/psf/requests/commit/f2629e9e3c7ce3c3c8c025bcd8db551101cbc773,0,yes,Removal of 'strict=True' weakens safeguards by potentially altering connection pool behavior.,yes,unclear change purpose Removed or weakened safeguards,0,1,1,1,prof_it,2026-04-28T18:33:49.484Z
keras#e253911d18325815f9d284d51a00eccc0b641ef5,keras,e253911d18325815f9d284d51a00eccc0b641ef5,https://github.com/keras-team/keras/commit/e253911d18325815f9d284d51a00eccc0b641ef5,1,no,The diff shows addition of new classes and functions with no visible shortcuts or poor practices.,no,no indication,348,1,2,4,prof_it,2026-04-28T18:33:49.484Z
scrapy#818d69fa003a14a2f2058e76258e6269d227efb4,scrapy,818d69fa003a14a2f2058e76258e6269d227efb4,https://github.com/scrapy/scrapy/commit/818d69fa003a14a2f2058e76258e6269d227efb4,0,no,"The change is a simple typo correction in a comment, not introducing technical debt.",no,no indication,1,1,1,1,prof_it,2026-04-28T18:33:49.484Z
keras#588ce7a7e24e5245f43c927ed96e1881ae3ed3ad,keras,588ce7a7e24e5245f43c927ed96e1881ae3ed3ad,https://github.com/keras-team/keras/commit/588ce7a7e24e5245f43c927ed96e1881ae3ed3ad,0,no,The diff shows a self-contained feature addition without visible shortcuts or complexity issues.,no,no indication,152,0,1,1,prof_it,2026-04-28T18:33:49.484Z
keras#879a6c244c767cdfb8b2c23ae605869946868291,keras,879a6c244c767cdfb8b2c23ae605869946868291,https://github.com/keras-team/keras/commit/879a6c244c767cdfb8b2c23ae605869946868291,1,yes,Removed error handling in `conv_transpose` and added 'TODO' comments indicating incomplete implementations.,yes,"TODO in comment, SATD",357,389,18,65,prof_it,2026-04-28T18:33:49.484Z
keras#3b853b939953040e8841911efa05407e7e1fa91f,keras,3b853b939953040e8841911efa05407e7e1fa91f,https://github.com/keras-team/keras/commit/3b853b939953040e8841911efa05407e7e1fa91f,0,no,No visible technical debt. Changes manage attributes and improve code clarity without introducing issues.,no,no indication,21,12,2,5,prof_it,2026-04-28T18:33:49.484Z
requests#366e8e849877aea44ce96abebd4f26f5bcce12fb,requests,366e8e849877aea44ce96abebd4f26f5bcce12fb,https://github.com/psf/requests/commit/366e8e849877aea44ce96abebd4f26f5bcce12fb,1,yes,The diff shows commented-out code and TODO comments indicating incomplete or temporary solutions.,yes,"TODO in comment, SATD",242,43,1,7,prof_it,2026-04-28T18:33:49.484Z
keras#1587fb9c43558b86fc34bbe441831be195488f72,keras,1587fb9c43558b86fc34bbe441831be195488f72,https://github.com/keras-team/keras/commit/1587fb9c43558b86fc34bbe441831be195488f72,0,no,"Changes are parameter adjustments in function calls, no technical debt introduced.",no,no indication,2,2,2,2,prof_it,2026-04-28T18:33:49.484Z
keras#0d37837d448a3b9202d5c4c9928ef40940578719,keras,0d37837d448a3b9202d5c4c9928ef40940578719,https://github.com/keras-team/keras/commit/0d37837d448a3b9202d5c4c9928ef40940578719,1,yes,"Self-admitted TODO comments indicate temporary, incomplete solutions. Hard-coded regex pattern for file paths.",yes,"TODO in comment, SATD",48,6,2,15,prof_it,2026-04-28T18:33:49.484Z
fastapi#07e1dea467c9654ea771bfef23cb3bf9654feb01,fastapi,07e1dea467c9654ea771bfef23cb3bf9654feb01,https://github.com/fastapi/fastapi/commit/07e1dea467c9654ea771bfef23cb3bf9654feb01,1,yes,"Commented-out code left in place, indicating a temporary workaround for deprecating Pydantic v1.",no,no indication,142,19,2,5,prof_it,2026-04-28T18:33:49.484Z
fastapi#a42c69049647f4fb731afc86c6eeb959248217e4,fastapi,a42c69049647f4fb731afc86c6eeb959248217e4,https://github.com/fastapi/fastapi/commit/a42c69049647f4fb731afc86c6eeb959248217e4,0,yes,"Function get_individual_sponsors adds multiple responsibilities: fetching data and filtering by price, increasing local complexity.",yes,complex commit bundle with dependencies among each other. Severl tasks completed in one commit including maintainance complexity,65,10,2,11,prof_it,2026-04-28T18:33:49.484Z
scrapy#97b98bf181874d22e4f7774a7950c10aaea6bd24,scrapy,97b98bf181874d22e4f7774a7950c10aaea6bd24,https://github.com/scrapy/scrapy/commit/97b98bf181874d22e4f7774a7950c10aaea6bd24,0,no,No visible technical debt. Changes improve type clarity and refactor settings update method without adding complexity or duplication.,no,no indication,32,12,3,11,prof_it,2026-04-28T18:33:49.484Z
keras#967304a60c246604f1b8fdff6448419c292099e4,keras,967304a60c246604f1b8fdff6448419c292099e4,https://github.com/keras-team/keras/commit/967304a60c246604f1b8fdff6448419c292099e4,0,no,Changes are refactoring and feature addition without visible shortcuts or complexity issues.,no,no indication,79,38,1,16,prof_it,2026-04-28T18:33:49.484Z
keras#2082bafd183eb6fea4778701f4c2c047970014f4,keras,2082bafd183eb6fea4778701f4c2c047970014f4,https://github.com/keras-team/keras/commit/2082bafd183eb6fea4778701f4c2c047970014f4,0,no,"Changes fix parameter usage and correct method calls, reducing errors and improving code quality.",no,no indication,3,3,1,2,prof_it,2026-04-28T18:33:49.484Z
keras#bd17007c12780d3eea06643ea1e7805c811e9f19,keras,bd17007c12780d3eea06643ea1e7805c811e9f19,https://github.com/keras-team/keras/commit/bd17007c12780d3eea06643ea1e7805c811e9f19,0,no,"Only formatting changes to documentation, no technical debt introduced.",no,no indication,2,2,1,2,prof_it,2026-04-28T18:33:49.484Z
scrapy#9408c77a1e16df89feeab055d3530ebad66555e1,scrapy,9408c77a1e16df89feeab055d3530ebad66555e1,https://github.com/scrapy/scrapy/commit/9408c77a1e16df89feeab055d3530ebad66555e1,1,yes,Presence of 'TODO' comments indicates incomplete features and self-admitted technical debt.,yes,"TODO in comment, SATD",136,0,2,1,prof_it,2026-04-28T18:33:49.484Z
keras#c333b2baa938ebce4a4944056f3f3e527b980086,keras,c333b2baa938ebce4a4944056f3f3e527b980086,https://github.com/keras-team/keras/commit/c333b2baa938ebce4a4944056f3f3e527b980086,0,no,The diff shows addition of new optimizer classes and their configurations without any visible shortcuts or issues.,no,no indication,15,0,5,10,prof_it,2026-04-28T18:33:49.484Z
flask#7233a3e0a223e8d426ff937f5c03d88636b0ade4,flask,7233a3e0a223e8d426ff937f5c03d88636b0ade4,https://github.com/pallets/flask/commit/7233a3e0a223e8d426ff937f5c03d88636b0ade4,0,no,"Correction of a spelling mistake in a comment, no technical debt introduced.",no,no indication,1,1,1,1,prof_it,2026-04-28T18:33:49.484Z
scrapy#8480f49cf627f745f4d3f31fb068878ed2f1d8d5,scrapy,8480f49cf627f745f4d3f31fb068878ed2f1d8d5,https://github.com/scrapy/scrapy/commit/8480f49cf627f745f4d3f31fb068878ed2f1d8d5,1,no,"The diff shows extensive refactoring and renaming of stats collection functionality, but no clear evidence of technical debt as defined.",no,no indication,246,550,22,47,prof_it,2026-04-28T18:33:49.484Z
scrapy#00cd4f0fa598fb1aa55084e3326ee302bbd88b38,scrapy,00cd4f0fa598fb1aa55084e3326ee302bbd88b38,https://github.com/scrapy/scrapy/commit/00cd4f0fa598fb1aa55084e3326ee302bbd88b38,0,yes,"Deprecated code is explicitly marked, indicating known TD with future removal planned.",yes,Deprecated code as warning for future replacement,20,2,1,6,prof_it,2026-04-28T18:33:49.484Z
scrapy#921fc4f3bf00c82c4dc8673206e06fe8e1f5927f,scrapy,921fc4f3bf00c82c4dc8673206e06fe8e1f5927f,https://github.com/scrapy/scrapy/commit/921fc4f3bf00c82c4dc8673206e06fe8e1f5927f,1,yes,Renaming 'domain' to 'spider' across multiple files increases local complexity and coupling within the diff.,yes,comment explicity mentioning of pending changes in version 0.8,387,405,27,138,prof_it,2026-04-28T18:33:49.484Z
keras#695a928224bb8d5efc6483fce1c40dae65dc7bbd,keras,695a928224bb8d5efc6483fce1c40dae65dc7bbd,https://github.com/keras-team/keras/commit/695a928224bb8d5efc6483fce1c40dae65dc7bbd,0,no,The changes add functionality and improve handling of masked inputs without introducing visible technical debt.,no,no indication,31,1,2,4,prof_it,2026-04-28T18:33:49.484Z
flask#7183aefd6271fb9d9398b8d721dea15a699ed501,flask,7183aefd6271fb9d9398b8d721dea15a699ed501,https://github.com/pallets/flask/commit/7183aefd6271fb9d9398b8d721dea15a699ed501,0,no,"The diff only adds a comment explaining a feature, not introducing technical debt.",no,no indication,2,1,1,1,prof_it,2026-04-28T18:33:49.484Z
keras#14cf11eb0474898c5451b8ea9770dd0d36f4e5d1,keras,14cf11eb0474898c5451b8ea9770dd0d36f4e5d1,https://github.com/keras-team/keras/commit/14cf11eb0474898c5451b8ea9770dd0d36f4e5d1,0,no,Change simplifies a print statement without introducing any technical debt.,no,no indication,2,4,1,1,prof_it,2026-04-28T18:33:49.484Z
keras#42d682de1780005e9dfd0e40d427b84888153c74,keras,42d682de1780005e9dfd0e40d427b84888153c74,https://github.com/keras-team/keras/commit/42d682de1780005e9dfd0e40d427b84888153c74,0,no,The diff shows a refactoring of API usage without introducing any technical debt.,no,no indication,1,1,1,1,prof_it,2026-04-28T18:33:49.484Z
keras#707c2448e2af285d41909953e7f20dd667c9a221,keras,707c2448e2af285d41909953e7f20dd667c9a221,https://github.com/keras-team/keras/commit/707c2448e2af285d41909953e7f20dd667c9a221,0,yes,"The update_package_init function now dynamically imports and writes imports, increasing local complexity and potential for errors.",no,"no issues, the complexity is on purpose",75,45,2,8,prof_it,2026-04-28T18:33:49.484Z
keras#04cbccc8038c105374eef6eb2ce96d6746999860,keras,04cbccc8038c105374eef6eb2ce96d6746999860,https://github.com/keras-team/keras/commit/04cbccc8038c105374eef6eb2ce96d6746999860,0,no,Change from math_ops.cast to K.cast does not introduce technical debt; it's a simple refactor.,no,no indication,1,1,1,1,prof_it,2026-04-28T18:33:49.484Z
scrapy#d0a81d369f2066239930aa4ab4f6d093807c2780,scrapy,d0a81d369f2066239930aa4ab4f6d093807c2780,https://github.com/scrapy/scrapy/commit/d0a81d369f2066239930aa4ab4f6d093807c2780,1,yes,"Presence of FIXME comment indicating known issue with test, suggesting temporary workaround or incomplete solution.",yes,"FIXME comment, SATD",143,0,2,2,prof_it,2026-04-28T18:33:49.484Z
keras#3feca20c59a233ddd75a7d333f0bed22942423f3,keras,3feca20c59a233ddd75a7d333f0bed22942423f3,https://github.com/keras-team/keras/commit/3feca20c59a233ddd75a7d333f0bed22942423f3,0,no,No visible technical debt. Changes are straightforward and do not introduce complexity or duplication.,no,no indication,14,12,5,9,prof_it,2026-04-28T18:33:49.484Z
keras#07baa958f5d04a7b027658488b580b332e230bb4,keras,07baa958f5d04a7b027658488b580b332e230bb4,https://github.com/keras-team/keras/commit/07baa958f5d04a7b027658488b580b332e230bb4,1,no,"The diff shows refactoring, new feature additions, and improvements without introducing technical debt as per the defined criteria.",no,no indication,519,13,6,9,prof_it,2026-04-28T18:33:49.484Z
scrapy#1fc2bc34898f24480b0f5f6a315b523211d768e8,scrapy,1fc2bc34898f24480b0f5f6a315b523211d768e8,https://github.com/scrapy/scrapy/commit/1fc2bc34898f24480b0f5f6a315b523211d768e8,0,yes,"Changed from handling multiple spiders to a single spider, reducing flexibility and increasing coupling.",no,no issue,3,4,1,4,prof_it,2026-04-28T18:33:49.484Z
scrapy#9ff9caecadf8215ce75b0ad4231b8289bca168fe,scrapy,9ff9caecadf8215ce75b0ad4231b8289bca168fe,https://github.com/scrapy/scrapy/commit/9ff9caecadf8215ce75b0ad4231b8289bca168fe,1,yes,"Added multiple responsibilities in `H2ClientProtocol` and `Stream`, increased local complexity with new methods and conditionals.",yes,"TODO in comment, SATD",139,58,2,34,prof_it,2026-04-28T18:33:49.484Z
keras#403d5778756efd12c1cf8a0904ffa910809df66f,keras,403d5778756efd12c1cf8a0904ffa910809df66f,https://github.com/keras-team/keras/commit/403d5778756efd12c1cf8a0904ffa910809df66f,1,yes,"Comment 'Quick fix for Python2' suggests a temporary workaround, indicating self-admitted technical debt.",yes,"Quick fix, SATD",12,44,2,15,prof_it,2026-04-28T18:33:49.484Z
scrapy#03751749a80526f3d97f60f0f63892501ef5de19,scrapy,03751749a80526f3d97f60f0f63892501ef5de19,https://github.com/scrapy/scrapy/commit/03751749a80526f3d97f60f0f63892501ef5de19,1,yes,"Explicit 'TODO' comment in code indicating temporary workaround left for tests, suggesting future work to remove it.",yes,"TODO in comment, SATD",79,198,12,42,prof_it,2026-04-28T18:33:49.484Z
keras#4adac05131e14980d56bc6b3ac4a8e6375cfdb52,keras,4adac05131e14980d56bc6b3ac4a8e6375cfdb52,https://github.com/keras-team/keras/commit/4adac05131e14980d56bc6b3ac4a8e6375cfdb52,1,no,The changes add functionality and improve existing methods without introducing visible technical debt.,no,no indication,38,9,3,15,prof_it,2026-04-28T18:33:49.484Z
fastapi#abe695ba9ac8f02cda7481cb601ee1ea20a9e5d8,fastapi,abe695ba9ac8f02cda7481cb601ee1ea20a9e5d8,https://github.com/fastapi/fastapi/commit/abe695ba9ac8f02cda7481cb601ee1ea20a9e5d8,0,no,No visible technical debt. Changes are feature additions and refactoring without visible shortcuts or quality issues.,no,no indication,417,0,13,12,prof_it,2026-04-28T18:33:49.484Z
requests#245c6edec34efd3216da2bd685a73fe411399b82,requests,245c6edec34efd3216da2bd685a73fe411399b82,https://github.com/psf/requests/commit/245c6edec34efd3216da2bd685a73fe411399b82,1,yes,Comment indicates future work needed ('TODO') suggesting self-admitted technical debt.,yes,"TODO in comment, SATD",3,0,1,1,prof_it,2026-04-28T18:33:49.484Z
keras#18a812e1dfa793f541e9bcf9705c62a77546c7ee,keras,18a812e1dfa793f541e9bcf9705c62a77546c7ee,https://github.com/keras-team/keras/commit/18a812e1dfa793f541e9bcf9705c62a77546c7ee,1,no,Comment update and minor refactoring without introducing technical debt.,no,no indication,2,3,1,1,prof_it,2026-04-28T18:33:49.484Z
flask#f01b654ac4c0a4789369440557267b75df55fd59,flask,f01b654ac4c0a4789369440557267b75df55fd59,https://github.com/pallets/flask/commit/f01b654ac4c0a4789369440557267b75df55fd59,0,no,"Change modifies attribute access without introducing complexity, duplication, or weakening safeguards.",no,no indication,1,1,1,1,prof_it,2026-04-28T18:33:49.484Z
scrapy#d8af395d7654ba659aa29060cf3cf0ed3dfe1174,scrapy,d8af395d7654ba659aa29060cf3cf0ed3dfe1174,https://github.com/scrapy/scrapy/commit/d8af395d7654ba659aa29060cf3cf0ed3dfe1174,1,no,The diff shows a well-structured addition of an AddonManager and related functionality without visible shortcuts or complexity issues.,no,no indication,1117,7,23,30,prof_it,2026-04-28T18:33:49.484Z
keras#791de01d4e661f977f6de272421ce01e2daa183b,keras,791de01d4e661f977f6de272421ce01e2daa183b,https://github.com/keras-team/keras/commit/791de01d4e661f977f6de272421ce01e2daa183b,1,yes,"The diff includes multiple TODO comments indicating incomplete implementations, which is self-admitted technical debt.",yes,"TODO in comment, SATD",1439,0,4,4,prof_it,2026-04-28T18:33:49.484Z
scrapy#eaf3a239e48a503e4e5e4e81d3daf4a0f1f97efe,scrapy,eaf3a239e48a503e4e5e4e81d3daf4a0f1f97efe,https://github.com/scrapy/scrapy/commit/eaf3a239e48a503e4e5e4e81d3daf4a0f1f97efe,1,yes,"Added complexity with conditional imports and exception handling, and a TODO comment indicating incomplete implementation.",yes,"TODO in comment, SATD",55,23,2,18,prof_it,2026-04-28T18:33:49.484Z
keras#3ecf201aeaf97c90fd8ba02a61c4a766b4b0cfb9,keras,3ecf201aeaf97c90fd8ba02a61c4a766b4b0cfb9,https://github.com/keras-team/keras/commit/3ecf201aeaf97c90fd8ba02a61c4a766b4b0cfb9,1,no,The diff shows addition of new functionality and refactoring without visible shortcuts or quality issues.,no,no indication,809,6,3,20,prof_it,2026-04-28T18:33:49.484Z
scrapy#f3013bb9adabbe6bc1dc2a7f131e487e9f9f4421,scrapy,f3013bb9adabbe6bc1dc2a7f131e487e9f9f4421,https://github.com/scrapy/scrapy/commit/f3013bb9adabbe6bc1dc2a7f131e487e9f9f4421,0,no,The diff shows refactoring and feature addition without introducing visible technical debt as per the constraints.,no,no indication,83,13,2,7,prof_it,2026-04-28T18:33:49.484Z
keras#93c1151c0b0c70782d63ba214d8e5715546ddb24,keras,93c1151c0b0c70782d63ba214d8e5715546ddb24,https://github.com/keras-team/keras/commit/93c1151c0b0c70782d63ba214d8e5715546ddb24,1,no,The changes do not introduce technical debt as per the defined criteria. They refactor and add tests without visible shortcuts or issues.,no,no indication,149,4,3,5,prof_it,2026-04-28T18:33:49.484Z
keras#6cf28ba09bd3fe60a7cfd5981231138ca3be2135,keras,6cf28ba09bd3fe60a7cfd5981231138ca3be2135,https://github.com/keras-team/keras/commit/6cf28ba09bd3fe60a7cfd5981231138ca3be2135,0,no,The diff introduces a new feature without visible shortcuts or complexity issues.,no,no indication,167,0,1,1,prof_it,2026-04-28T18:33:49.484Z
keras#975713c645b5907d3952864f89c85e8711376e0c,keras,975713c645b5907d3952864f89c85e8711376e0c,https://github.com/keras-team/keras/commit/975713c645b5907d3952864f89c85e8711376e0c,1,yes,Comment 'Needs further discussion on how to manage torch params' indicates unresolved TD.,yes,"SATD in comment ""needs further discussion""",174,11,2,10,prof_it,2026-04-28T18:33:49.484Z
